"","text","score","very.pos","very.neg"
"1","@Bzibee It's our pleasure! Please feel free to tweet @ChaseSupport if you ever need assistance in the future. ^SG",2,1,0
"2","@ChaseSupport oh... I just remembered that I closed the account that earned the interest. I guess I can't look up that 1099-INT online?",0,0,0
"3","@ChaseSupport thank you for getting back to me. I don't see it online prob cause I refi out of chase. Is there a way to retrieve it online",1,0,0
"4","@UptonSean 2/2 feedback with our developers regarding this update. Feel free to tweet @ChaseSupport if you have any other questions. ^SG",1,0,0
"5","@ChaseSupport Thanks! Checking account Joshua Hickey zip 11211 and 10013 opened account at grand street brooklyn branch in 98 or 99.",1,0,0
"6","@ChaseSupport  Chase wakes me up well before 8am and asks if I made charges that I didn't and then tells me they're not fraud. Not helpful!",1,0,0
"7","@ChaseSupport we got a Chase Southwest card to the same address a day prior? Makes no sense to me.",0,0,0
"8","@ChaseSupport Thank you, I just followed you.",1,0,0
"9","RT @ChaseSupport: Good morning, everyone! We’re always happy to assist our great customers. Tweet us if you need us! ^MB",3,1,0
"10",".@ChaseSupport how do you think I received the letter? By definition receipt proves address..",1,0,0
"11","@ChaseSupport good morning you send out the 1098's?",1,0,0
"12","@Saverocity 2/2 If you have additional questions about the letter you received, please tweet us @ChaseSupport. ^EN",0,0,0
"13","@ChaseSupport How do I check my current limits and how would I raise them if I need to?",-1,0,0
"14","@DerekBHazelwood It's our pleasure; we want to keep your accounts safe! Feel free to tweet @ChaseSupport if you ever need anything. ^SG",3,1,0
"15","@ChaseSupport no please just add more moneys to my account.  im broke",-1,0,0
"16","@ChaseSupport seriously the worst fraud protection going, second time in the last 6 months you are blaming me for an authorized charges",-1,0,0
"17","@ChaseSupport Tried calling card member services for the past 8 hours. Says that u are experiencing technical problems. Can't get through.",-1,0,0
"18","RT @ChaseSupport: Good morning, everyone! We’re always happy to assist our great customers. Tweet us if you need us! ^MB",3,1,0
"19","@ChaseSupport How does active duty military enroll their CC for SCRA benefits?",1,0,0
"20","@ChaseSupport Good Morning! I applied for a credit card last month, but haven't received the card so far. Can you please help to resend? Thx",1,0,0
"21","@ChaseSupport I am receiving many emails with erroneous information. I'm not your client so must be a mistake. Can you help me?",-2,0,1
"22","@ChaseSupport Hey, I was just wondering when I can expect 1099-INT for my checking account to be available?",1,0,0
"23","@ChaseSupport Hello..How may I obtain past statements from 2008-2010 i no longer have an account. Thanks",0,0,0
"24","@ChaseSupport took 50 min but they finally got it! they had a tray with cookies and a sign that said “dog food”, wonder if that was a prank",1,0,0
"25","@ChaseSupport 01/12/2015   Misc. Debit dr due to ATM/DEP error what does this mean on my statement costing me $60?  Who can I speak to?",-1,0,0
"26","@ChaseSupport i ve found a Visa credit card and Wallet with drive lice se of person named ""jessica Ryan"" from 
Durham NC, UsA . Please help",0,0,0
