"","text","score","very.pos","very.neg"
"1","@ChaseSupport Wait, really? So not all freedom holders can refer people? With @Discover everyone is treated equal. Why you hate me @Chase",0,0,0
"2","@ChaseSupport thanks!!",0,0,0
"3","@ChaseSupport are you aware of the constantly daily fraud committed by your bank? I posted on Facebook to and had many ppl tell same story",-1,0,0
"4","@ChaseSupport ¦ Good info if you plan to travel to Kenya&lt; See the photos <U+2666> http://t.co/1WDwALURli",1,0,0
"5",": @ChaseSupport @chase  chase doesn't want business accounts. They just want the monthly service fees no help for the business",0,0,0
"6","@ChaseSupport @Chase at the branch again   Almost time to close my accounts !!!!!",0,0,0
"7","@ChaseSupport  I do not currently have an account with Chase, but am I amble to get a cashiers check from your bank if I paid in cash?",0,0,0
"8","@ChaseSupport Does the mobile browser photograph and deposit checks?",0,0,0
"9","@GlennRuppel @ChaseSupport @Chase Maddening that @Chase prefers to deal w/fraud rather than work to prevent it.",1,0,0
"10","@ChaseSupport no luck there",1,0,0
"11","RT @GlennRuppel: @ChaseSupport Yes but I resent wasting time filing police report &amp; credit alert all because @Chase issues card in my name …",-3,0,1
"12","@ChaseSupport please consider adding Touch ID support for iPhone. I know I wouldn’t be the only one who appreciates it. @etrade has it.",2,1,0
"13","@ChaseSupport thanks so much!",0,0,0
"14","Why does @ChaseSupport wait for 3 days after I've been charged overdraft fees to email me about my account?",0,0,0
"15","And thx to @ChaseSupport by phone, understanding not to reject my legit PayPal transaction and to keep lookout for the fraudulent one!",-2,0,1
"16","@chasesupport make a #universal app. Works on #Win8 as well as #phone. RT @NewsieWrites:  Just found out the @chase app is being killed",2,1,0
"17","@ChaseSupport Thanks for your response. I have been a loyal @chase member since about 2000 so to say I am disappointed is an understatement",0,0,0
"18","RT @NewsieWrites: Not feeling the love for #windows. Just found out the @chase mobile app is being discontinued. Any way I can petition thi…",0,0,0
"19","@ChaseSupport No, it comes up to the login screen, you put everything in, and submit and it goes to a blank page at https://t.co/PJidP8fNtu",0,0,0
"20","@ChaseSupport I'm trying to refer friends to Chase Freedom. When I put my information is it says it can't be verified what's going on?",1,0,0
"21","@ChaseSupport Yes but I resent wasting time filing police report &amp; credit alert all because @Chase issues card in my name to random address",-3,0,1
"22","RT @ChaseSupport: @RockyTayeh When you apply for a loan, we'll review your application along with a copy of your credit report to determine…",1,0,0
"23","Not feeling the love for #windows. Just found out the @chase mobile app is being discontinued. Any way I can petition this @chasesupport?",0,0,0
"24","@Chasesupport, rather",0,0,0
"25","@ChaseSupport I need help on a short sale file. No response  through Equator since 15th of January regarding a canceled BPO or status update",0,0,0
"26","@ChaseSupport that would be great!",1,0,0
"27","@ChaseSupport where do I find the password for chase preferred ticketmaster presale tickets? Am I eligible with a sapphire preferred?",0,0,0
"28","@ChaseSupport not helpful. they said my sec answers were wrong. they were not. WTF chase?",0,0,0
"29","@Chase just helped me through a difficult time whilst moving countries. Thanks @ChaseSupport #onlychase",0,0,0
"30","@ChaseSupport have done so. Thanks for your support",1,0,0
"31","@ChaseSupport Thanks!",0,0,0
"32","@Chase @ChaseSupport Thanks for pulling the plug on Windows app for Chase.  Now my family can no longer mobile deposit.",0,0,0
"33","RT @JonReiman: @joebelfiore Any thoughts on @ChaseSupport @Chase bank's decision to pull their app from the WP store? What is @Microsoft do…",0,0,0
"34","RT @NickChuckles: Pretty disappointed that you're removing your Windows Phone app, @ChaseSupport @Chase.  I use it weekly to manage multipl…",0,0,0
"35","@ChaseSupport calling and talking to a person isn't as effective you're saying? ......",1,0,0
"36","@ChaseSupport Twice I've asked why Chase is terminating 3rd party online banking automatic e-billing with Bank of America. No answer given <ed><U+00A0><U+00BD><ed><U+00B8><U+0095>",0,0,0
"37","@ChaseSupport are there any known issues with account alerts?",-1,0,0
"38","@ChaseSupport lol 3 days later? I just finished a 40 hour shift. All I wanted was for one charge to go through. Gave time, amount... Wtf?",0,0,0
"39","@ChaseSupport goodbye  #ChaseDebate 
 Couple $100 isn't worth  hard credit check
Buying car or house ..hard credit check well worth it!",1,0,0
"40","@ChaseSupport where is this coffee????",0,0,0
"41","@ChaseSupport 15 years paying on time on a $500 CREDIT card..does that not #speakvolumes? So hurt my score with hard #creditcheck #stupid",-3,0,1
"42","@ChaseSupport Long time Chase customer here. Why discontinue Windows Phone app? I need this! I like my phone more than my bank...",1,0,0
"43","@ChaseSupport what i need to do to authorize my debit card to pay on internet, never had this problem before :( HELP",-1,0,0
"44","@ChaseSupport @gayathrinw08 I have had the same issue with all my computers and chrome for a long time.  Only Firefox works which sucks!",-1,0,0
"45","Dear @ChaseSupport Thank you for your support in providing a mail address to speak directly to one of your agents in the UK if possible. Thx",2,1,0
"46","@ChaseSupport Hi, My current blnc in the acct is $11.63 and my credit limit is $2000, still the acct shows avlbl credit as $1985 Y is tht?",-1,0,0
"47","RT @ChaseSupport: @phyyll To process these types of requests, a review of your credit report is needed. If you have addt'l questions, pleas…",-1,0,0
"48","@ChaseSupport @chase I will close my chase credit cards (4) and debit account if @WinPhoneSupport is taken away",0,0,0
"49","@ChaseSupport how long does it take to receive a card of an authorized user i am adding?",0,0,0
"50","@ChaseSupport not your #windowsphone customers",0,0,0
"51","@united @Chase @ChaseSupport why do you send me mileading mail suggesting i should order magazines because my miles are expiring. #LIES",-1,0,0
