Column1,text,score,Very.Pos,Very.Neg,Accurate?,Specific?
1,"@BofA_Help gonna do this, @BoFA gonna do that.... @BofA_Help ain't going do nothing",0,0,0,,
2,@AskCiti after 10am yes.,0,0,0,,
3,"@AskCiti Thanks for response, sent two queries on  http://t.co/m41q30Z2BZ , looking for Quick Reply,",0,0,0,,
4,@AskCiti I am in Ireland at the moment. Will you be calling me now?,0,0,0,,
5,@AskCiti Is this a DM ?,0,0,0,,
6,"@AskCiti Thank you. I forwarded it to the email that you indicated. 

P.S. I find it great the idea of a bg image on your twitter page :)",2,1,0,,
7,"@AskCiti My used ID is correct, I have tried all the passwords that I had and nothing works",2,1,0,,
8,"@AskCiti Says wrong password, when I try the forgotten password it says 1 or more information is wrong",-2,0,1,,
9,"@NickyDico Hi, I tried to DM you but see that you are no longer following us. Pls follow @AskCiti when u get a chance. Thanks! ^SG",0,0,0,,
10,@AskCiti thanks! I'm wondering if you can tell me how long after my statement ended the points will post?,0,0,0,,
11,@AskCiti Thanks. I finally got ahold of someone only to learn you don't carry Tanzanian currency smh.,0,0,0,,
12,@AskCiti can i get any reply,0,0,0,,
13,"@AskCiti I'm afraid I don't. After months of paying the assistance program thing, can't even send an electrician to my apt?! Quitting today.",-1,0,0,,
14,"@AskCiti this is the Bishwanath from India , i got three check of Citi bank but  bounced all. Want actn against payee http://t.co/RQhNpbj577",0,0,0,,
15,"@AskCiti I actually just got an email. Thank you though and I'm guessing my local bank accepts faxes, yay!",2,1,0,,
16,@AskCiti I just opened a student account but my computer died. What documents do I need to verify my school status &amp; also what is the fax #?,-1,0,0,,
17,@AskCiti thankyou,0,0,0,,
18,@AskCiti I want to know if Citibank stills has a branch here in Peru.?,0,0,0,,
19,"@AskCiti thx for your prompt reply, fortunately the cs based Imdonesia has assisted me; it's my pleasure to be Citibank customer :)",3,1,0,,
20,"@AskCiti hi city i just moved to england from the states &amp; my card is getting declined although i already notified you, help please? urgent",-1,0,0,,
21,@AskCiti I cant log into my online banking,0,0,0,,
22,"@AskCiti Hi there, if my avaiable spending bal is ~$20 can a company automatically charge me for a non return product in an amount of ~$300?",0,0,0,,
23,@AskCiti Can someone MP for support issues! URGENT!,-1,0,0,,
24,@AskCiti late papa bacha said had cridt card with u. he is dead. email me on jawadali0595@gmail.com about balance in his bank A/C F any?,-1,0,0,,
25,@AskCiti My mom recently passed away and I need to reconcile her credit card accounts.  How should I go about this?,1,0,0,,
26,@HiltonHHonors @AskCiti Can't warn people enough to avoid #HiltonHonors #Citicards enough! Pay annual fee and charge thousands - no rewards!,2,1,0,,
27,"@AskCiti Hello, i wanto to know how to open a saving account in USA from Peru? I am not a US Citizen, but i need one so i could buy a house.",0,0,0,,
28,@AskCiti thankyou still waiting to hear back,0,0,0,,
29,@AskCiti need your help; wanna close my card but the customer service always been busy,0,0,0,,
