"","x"
"1","@Bzibee It's our pleasure! Please feel free to tweet @ChaseSupport if you ever need assistance in the future. ^SG"
"2","@ChaseSupport oh... I just remembered that I closed the account that earned the interest. I guess I can't look up that 1099-INT online?"
"3","@ChaseSupport thank you for getting back to me. I don't see it online prob cause I refi out of chase. Is there a way to retrieve it online"
"4","@UptonSean 2/2 feedback with our developers regarding this update. Feel free to tweet @ChaseSupport if you have any other questions. ^SG"
"5","@ChaseSupport Thanks! Checking account Joshua Hickey zip 11211 and 10013 opened account at grand street brooklyn branch in 98 or 99."
"6","@ChaseSupport  Chase wakes me up well before 8am and asks if I made charges that I didn't and then tells me they're not fraud. Not helpful!"
"7","@ChaseSupport we got a Chase Southwest card to the same address a day prior? Makes no sense to me."
"8","@ChaseSupport Thank you, I just followed you."
"9","RT @ChaseSupport: Good morning, everyone! We’re always happy to assist our great customers. Tweet us if you need us! ^MB"
"10",".@ChaseSupport how do you think I received the letter? By definition receipt proves address.."
"11","@ChaseSupport good morning you send out the 1098's?"
"12","@Saverocity 2/2 If you have additional questions about the letter you received, please tweet us @ChaseSupport. ^EN"
"13","@ChaseSupport How do I check my current limits and how would I raise them if I need to?"
"14","@DerekBHazelwood It's our pleasure; we want to keep your accounts safe! Feel free to tweet @ChaseSupport if you ever need anything. ^SG"
"15","@ChaseSupport no please just add more moneys to my account.  im broke"
"16","@ChaseSupport seriously the worst fraud protection going, second time in the last 6 months you are blaming me for an authorized charges"
"17","@ChaseSupport Tried calling card member services for the past 8 hours. Says that u are experiencing technical problems. Can't get through."
"18","RT @ChaseSupport: Good morning, everyone! We’re always happy to assist our great customers. Tweet us if you need us! ^MB"
"19","@ChaseSupport How does active duty military enroll their CC for SCRA benefits?"
"20","@ChaseSupport Good Morning! I applied for a credit card last month, but haven't received the card so far. Can you please help to resend? Thx"
"21","@ChaseSupport I am receiving many emails with erroneous information. I'm not your client so must be a mistake. Can you help me?"
"22","@ChaseSupport Hey, I was just wondering when I can expect 1099-INT for my checking account to be available?"
"23","@ChaseSupport Hello..How may I obtain past statements from 2008-2010 i no longer have an account. Thanks"
"24","@ChaseSupport took 50 min but they finally got it! they had a tray with cookies and a sign that said “dog food”, wonder if that was a prank"
"25","@ChaseSupport 01/12/2015   Misc. Debit dr due to ATM/DEP error what does this mean on my statement costing me $60?  Who can I speak to?"
"26","@ChaseSupport i ve found a Visa credit card and Wallet with drive lice se of person named ""jessica Ryan"" from 
Durham NC, UsA . Please help"
"27","#JamieDimon how many times do I have to leave msg for #ChaseBank rep to call me back re: #fraud hold.? #PoorCustomerService @ChaseSupport"
"28","@ChaseSupport 4841 Fenton Road, Flint, MI 48507 and G-4085 S Saginaw St Burton MI 48529"
"29","@ChaseSupport We are Chase customers and will need a certified check. Can we get this in the drive-thru or do we have to go into the lobby?"
"30","@ChaseSupport this could have been said in the DM. But I understand the social media PR. Dont forget your employee put me in this situation."
"31","@ChaseSupport I'm not sure I understand the if in your statement. How would one find out?"
"32","@ChaseSupport Do Apple stores count as office supply stores for the ink business card?"
"33","@ChaseSupport i am trying to refer my brother to get the Chase Ink card... are there any active referral bonuses?"
"34","@ChaseSupport Yes, tried it. Says it requires IOS7 which I don't have. So now I can't use the app at all anymore?"
"35","@ChaseSupport done"
"36","@ChaseSupport I need a phone # to call for questions on applying for a Sapphire card.  I don't have a Chase account"
"37","Thank you, @ChaseSupport, I really appreciate that."
"38","@ChaseSupport sorry yes, please provide the fax# to submit 3rd party authorization letter."
"39","@ChaseSupport My last 2 emails never got a response and I dont want to be on the phone with you for another hour.  Can I get some help"
"40","@ChaseSupport Please help! I'm getting no response from you on my customer's short sale. Buyer is about to walk!!"
"41","@ChaseSupport Well, we never got them. After calling Chase, hey said they would be resend. Now we have letter saying we won't get them."
"42","@ChaseSupport now follows me but I rather have an answer to why they don't fulfill a part of the offer"
"43","@ChaseSupport my question is too long for twitter.  Is there an 800 number for cust svc re online bill pay?"
"44","Wow @ChaseSupport never sent the @united club passes that came with the cc &amp; after contacting them, they say we won't get any till September"
"45","@ChaseSupport its gotta happen."
"46","@ChaseSupport Thanks! Just did!"
"47","@ChaseSupport faxing 28 pages previously sent via certified mail on 12/4/2014 that Chase said didn't get but did get check in same envelope."
"48","When will @chase / @ChaseSupport get touch id login????"
"49","@ChaseSupport Should be following you"
"50","RT @ChaseSupport: @hayyy1110 Thank you for the love. We look forward to continue providing you with this level of service. Have a wonderful…"
"51","@RicksWord I'll share your feedback. If we can ever be of any assistance, please feel free to tweet us here @ChaseSupport. ^TZ"
"52","@ChaseSupport thanks guys!"
"53","@ChaseSupport can you see if my new cc has come through so you can overnight it to me or my hotel this weekend?"
"54","@ChaseSupport they’ve called claims dept a few times and can’t seem to figure it out"
"55","@ChaseSupport Wondering what we have to do to keep our branch in Greenville, MI alive and working."
"56","@ChaseSupport the executor is a friend of the family that has moved out of state. Is there a form I can mail her?"
"57","@ChaseSupport I’m at the bank now and no one can figure out how to get them, is there something I should tell them that would help?"
"58","@ChaseSupport : Aliente, NLV NV brance Had 1 since I've Been in NLV (2009). Was no reason to call ahead. Just saying that I was surprised"
"59","@ChaseSupport My father has passed away, how do I claim the funds in his Chase banking account? I have his will and I am sole beneficiary."
"60","@ChaseSupport When you send chase quick pay from a non-chase account does it immediately send you email verification that you sent paymnt?"
"61","@ChaseSupport DM sent..."
"62","@ChaseSupport I will!!"
"63","@ChaseSupport I figured it out. They sent me some form that I have to fill out and return. Thanks though!"
"64","@ChaseSupport should be resolve the technology of your new ATMs got me <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081>"
"65","@ChaseSupport HUGE issue closing a short sale that was approved. Chase Closer is NOT GREAT, 3rd approval letter now expired, Please HELP!"
"66","@ChaseSupport do you offer bank accounts to international students studying at US universities?"
"67","@ChaseSupport thank you for your respond, love this support!"
"68","@business It really  seems  true. Regulations can go too far. I never had any problem with  @Chase and get great @ChaseSupport @nami13"
"69","@ChaseSupport Will do! Headed your way ..."
"70","@ChaseSupport
 hey chase people,
So what's the deal with you guys covering broken phones up to 120 days after the purchase? 
#help"
"71","@ChaseSupport I need the # to send the authorization letter"
"72","@ChaseSupport Radio button to pay my statement balance is grayed out-perhaps due to a return I made? Can only pay current balance or other."
"73","@ChaseSupport thank you!!"
"74","@ChaseSupport I've sent an email through my account asking about the charges - still waiting for a reply. Thanks."
"75","@ChaseSupport messaged you guys were you able to figure out why I was charged 25$ for a service fee?"
"76","@ChaseSupport I am aware, but have you heard of @clearxchange thru @bankofamerica? I want to know if it's safe."
"77","@ChaseSupport this was a couple days ago, working now. Using Safari on MacBook."
"78","@Chase @ChaseSupport thanks. Thats not my email address. That's the email address the email came from. Thanks!"
"79","@ChaseSupport dear chase bank, after your corrupt bailout. I would not do business with you if you were the only bank on earth. waste paper."
"80","@ChaseSupport Tweeting away... The #chase #apps menu could use some tweaking. It still doesn't look like it fits in with the rest of the app"
"81","@ChaseSupport I very much appreciate your help!"
"82","@ChaseSupport no wonder its a cluster mess and has taken 5 months with drunk driver hitting house 10 months ago. Keep up the good work."
"83","@ChaseSupport doesn't say who is charging me for a service fee? Or even what service im being charged for. I didnt purchase anything."
"84","@ChaseSupport who is handling my settlement file? Beth called, letter saying Eric, then Tracey in Corp support. Can't 1 person do this?"
"85","@ChaseSupport hey just got a notification saying my checking was -3 dollars. Went to check it said $25 was withdrawn for a service fee?"
"86","@ChaseSupport done"
"87","@ChaseSupport Hello Chase, I am wondering if it is possible for me to have 2 checking accounts?"
"88","@ChaseSupport too many cooks stirring the pot over there fyi #needorganiation #restructurestaff"
"89","@ChaseSupport beth was rude #customerservicetrainingneeded she talked over me and didn't let me write anything down 2 fast attitude invoice"
"90","RT @ChaseSupport: We're leaving for the night; since our team is located in the ""Buckeye State,"" we want to congratulate The Ohio State Buc…"
"91","@ChaseSupport why did i receive a call from a Beth asking for me to make up paperwork that doesn't exist? #frustratedtonoend #irate #pissed"
"92","@chasesupport: i have certain questions regarding my account please advise!
Thanks"
"93","@ChaseSupport I have replied."
"94","@ChaseSupport ok, I'll explain the joke like last time. Go BUCKS. Bucks=$. you're a bank. Bank have $. You're rooting for $."
"95","@ChaseSupport I need help. Omg <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #ChaseToTheRescue"
"96","RT @ChaseSupport: @jrobinson82 Never fear, the color blue will always hold a special place in our hearts. If we can offer our assistance, p…"
"97","Facts right just handle the $$ keep it movin!! RT @datassholemeeka: Why they tryna be homies? @ItsQuietForYou @ChaseSupport"
"98","Why they tryna be homies? @ItsQuietForYou @ChaseSupport"
