text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"@BofA_Help gonna do this, @BoFA gonna do that.... @BofA_Help ain't going do nothing",FALSE,0,BofA_Help,1/2/2015 14:39,FALSE,NA,5.51E+17,18735040,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",easyerik08,0,FALSE,FALSE,NA,NA
@AskCiti after 10am yes.,FALSE,0,AskCiti,1/6/2015 15:08,FALSE,5.52E+17,5.52E+17,82151473,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",scarnightingale,0,FALSE,FALSE,NA,NA
"@AskCiti Thanks for response, sent two queries on  http://t.co/m41q30Z2BZ , looking for Quick Reply,",FALSE,0,AskCiti,1/6/2015 14:58,FALSE,5.52E+17,5.52E+17,82151473,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",bishuamit,0,FALSE,FALSE,0,0
@AskCiti I am in Ireland at the moment. Will you be calling me now?,FALSE,0,AskCiti,1/6/2015 14:54,FALSE,5.52E+17,5.52E+17,82151473,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PascalMansfield,0,FALSE,FALSE,NA,NA
@AskCiti Is this a DM ?,FALSE,0,AskCiti,1/6/2015 14:50,FALSE,5.52E+17,5.52E+17,82151473,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PascalMansfield,0,FALSE,FALSE,NA,NA
"@AskCiti Thank you. I forwarded it to the email that you indicated. 

P.S. I find it great the idea of a bg image on your twitter page :)",FALSE,0,AskCiti,1/6/2015 14:47,FALSE,5.52E+17,5.52E+17,82151473,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",vero4ka_ru,0,FALSE,FALSE,NA,NA
"@AskCiti My used ID is correct, I have tried all the passwords that I had and nothing works",FALSE,0,AskCiti,1/6/2015 14:46,FALSE,5.52E+17,5.52E+17,82151473,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PascalMansfield,0,FALSE,FALSE,NA,NA
"@AskCiti Says wrong password, when I try the forgotten password it says 1 or more information is wrong",FALSE,0,AskCiti,1/6/2015 14:43,FALSE,5.52E+17,5.52E+17,82151473,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PascalMansfield,0,FALSE,FALSE,NA,NA
"@NickyDico Hi, I tried to DM you but see that you are no longer following us. Pls follow @AskCiti when u get a chance. Thanks! ^SG",FALSE,0,NickyDico,1/6/2015 14:37,FALSE,NA,5.52E+17,39669441,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AskCiti,0,FALSE,FALSE,NA,NA
@AskCiti thanks! I'm wondering if you can tell me how long after my statement ended the points will post?,FALSE,0,AskCiti,1/6/2015 14:35,FALSE,5.52E+17,5.52E+17,82151473,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sweetsarilew,0,FALSE,FALSE,NA,NA
@AskCiti Thanks. I finally got ahold of someone only to learn you don't carry Tanzanian currency smh.,FALSE,0,AskCiti,1/6/2015 14:29,FALSE,5.52E+17,5.52E+17,82151473,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",TheDLife,0,FALSE,FALSE,NA,NA
@AskCiti can i get any reply,FALSE,0,bishuamit,1/6/2015 14:29,FALSE,5.52E+17,5.52E+17,2368653734,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",bishuamit,0,FALSE,FALSE,0,0
"@AskCiti I'm afraid I don't. After months of paying the assistance program thing, can't even send an electrician to my apt?! Quitting today.",FALSE,0,AskCiti,1/6/2015 14:26,FALSE,5.52E+17,5.52E+17,82151473,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",luiscueto,0,FALSE,FALSE,-77.03110375,-12.12233945
"@AskCiti this is the Bishwanath from India , i got three check of Citi bank but  bounced all. Want actn against payee http://t.co/RQhNpbj577",FALSE,0,AskCiti,1/6/2015 14:24,FALSE,NA,5.52E+17,82151473,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",bishuamit,0,FALSE,FALSE,NA,NA
