"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","text.1","score","very.pos","very.neg","text.2","anger","disgust","fear","joy","sadness","surprise","emotion","pos","neg","pos_neg","polarity"
"826","@AskUSBank USBank: custserv on @clubcarlson credit cards is horrendous. Cancelled after 3mos. Rarely complain but wow. Back to @AskAmex",FALSE,0,"AskUSBank","2015-01-25 18:05:31",FALSE,NA,559411760805859328,147678915,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","philosoecono",0,FALSE,FALSE,NA,NA,"@AskUSBank USBank: custserv on @clubcarlson credit cards is horrendous. Cancelled after 3mos. Rarely complain but wow. Back to @AskAmex",-1,0,0," usbank custserv on  credit cards is horrendous cancelled after 3mos rarely complain but wow back to ","1.46871776464786","3.09234031207392","7.34083555412328","1.02547755260094","1.7277074477352","2.78695866252273","fear","17.2265151579293","18.5054868578024","0.930886892644283","negative"
"1941","@AskAmex Can I buy Euros through my Amex card for my upcoming honeymoon?",FALSE,0,"AskAmex","2015-01-28 17:32:50",FALSE,NA,560490698936709120,62911603,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Uncle__Chris",0,FALSE,FALSE,NA,NA,"@AskAmex Can I buy Euros through my Amex card for my upcoming honeymoon?",0,0,0," can i buy euros through my amex card for my upcoming honeymoon","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","8.78232285939751","0.445453222112551","19.7154772340574","positive"
"1942","@ginnylawsonpr thanks for Tweeting with us. Questions? Contact @AskAmex",FALSE,0,"ginnylawsonpr","2015-01-28 17:26:48",FALSE,560488977963417600,560489179235094528,2176668938,"<a href=""https://sync.americanexpress.com/twitter"" rel=""nofollow"">Amex Sync Tree</a>","AmexOffers",0,FALSE,FALSE,NA,NA,"@ginnylawsonpr thanks for Tweeting with us. Questions? Contact @AskAmex",0,0,0," thanks for tweeting with us questions contact ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"1943","@shanovanof You've already enrolled in the #AmexSony offer. If this is an error, please contact @AskAmex",FALSE,0,"shanovanof","2015-01-28 17:16:09",FALSE,542194645347094528,560486498617679872,2912203179,"<a href=""https://sync.americanexpress.com/twitter"" rel=""nofollow"">Amex Sync Tree</a>","AmexOffers",0,FALSE,FALSE,NA,NA,"@shanovanof You've already enrolled in the #AmexSony offer. If this is an error, please contact @AskAmex",-1,0,0," youve already enrolled in the amexsony offer if this is an error please contact ","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","9.47547003995745","8.78232285939751","1.07892526745566","neutral"
"1944","@AskAmex if I pay my green card before it closes does that effect my points?",FALSE,0,"AskAmex","2015-01-28 17:04:14",FALSE,NA,560483498587598848,62911603,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Underwater_tech",0,FALSE,FALSE,NA,NA,"@AskAmex if I pay my green card before it closes does that effect my points?",0,0,0," if i pay my green card before it closes does that effect my points","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","9.47547003995745","0.108836578774127","negative"
"1945","@AmericanExpress @AskAmex I think we are good by now - got my accounts back... :)",FALSE,0,"AmericanExpress","2015-01-28 16:44:48",FALSE,560473886115254272,560478609719033856,42712551,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MightyTravels",0,FALSE,FALSE,NA,NA,"@AmericanExpress @AskAmex I think we are good by now - got my accounts back... :)",1,0,0,"  i think we are good by now  got my accounts back ","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","24.9775602759011","0.445453222112551","56.0722406663613","positive"
"1946","@deWebFIN You've already enrolled in the #AmexHilton offer. If this is an error, please contact @AskAmex",FALSE,0,"deWebFIN","2015-01-28 16:40:47",FALSE,560477526326538240,560477600452050944,2228483094,"<a href=""https://sync.americanexpress.com/twitter"" rel=""nofollow"">Amex Sync Tree</a>","AmexOffers",0,FALSE,FALSE,NA,NA,"@deWebFIN You've already enrolled in the #AmexHilton offer. If this is an error, please contact @AskAmex",-1,0,0," youve already enrolled in the amexhilton offer if this is an error please contact ","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","9.47547003995745","8.78232285939751","1.07892526745566","neutral"
"1947","@3Si008 You've already enrolled in the #AmexNewegg offer. If this is an error, please contact @AskAmex",FALSE,0,"3Si008","2015-01-28 16:29:03",FALSE,NA,560474645267111936,38629997,"<a href=""https://sync.americanexpress.com/twitter"" rel=""nofollow"">Amex Sync Tree</a>","AmexOffers",0,FALSE,FALSE,NA,NA,"@3Si008 You've already enrolled in the #AmexNewegg offer. If this is an error, please contact @AskAmex",-1,0,0," youve already enrolled in the amexnewegg offer if this is an error please contact ","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","9.47547003995745","8.78232285939751","1.07892526745566","neutral"
"1948","@MightyTravels Looping in @AskAmex to see if they can assist. ^ER",FALSE,0,"MightyTravels","2015-01-28 16:26:02",FALSE,560454697774231552,560473886115254272,1055221626,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmericanExpress",0,FALSE,FALSE,NA,NA,"@MightyTravels Looping in @AskAmex to see if they can assist. ^ER",0,0,0," looping in  to see if they can assist er","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"1949","@AskAmex @Hultsie_ And keep on asking, more Feedback = better successes. #SmilesGoMiles",FALSE,0,"AskAmex","2015-01-28 16:24:29",FALSE,560472983202840576,560473498393784320,62911603,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NowFeedback",0,FALSE,FALSE,NA,NA,"@AskAmex @Hultsie_ And keep on asking, more Feedback = better successes. #SmilesGoMiles",2,1,0,"  and keep on asking more feedback  better successes smilesgomiles","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","0.445453222112551","21.2715265477714","positive"
