"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","text.1","score","very.pos","very.neg","text.2","anger","disgust","fear","joy","sadness","surprise","emotion","pos","neg","pos_neg","polarity"
"2533","@santanderukhelp stuck with @BarclaysOnline So disappointed with this appalling customer service!",FALSE,0,"santanderukhelp","2015-01-27 15:08:16",FALSE,560091421613772800,560091927241322496,962692878,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","TripleASays",0,FALSE,FALSE,NA,NA,"@santanderukhelp stuck with @BarclaysOnline So disappointed with this appalling customer service!",-3,0,1," stuck with  so disappointed with this appalling customer service","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","18.5054868578024","0.0557282145209216","negative"
"2798","@BarclaysOnline bettween half 4 - 5",FALSE,0,"BarclaysOnline","2015-01-28 17:32:53",FALSE,560488088016023552,560490710638809088,338559800,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Beanieseaman",0,FALSE,FALSE,NA,NA,"@BarclaysOnline bettween half 4 - 5",0,0,0," bettween half 4  5","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"2799","@BarclaysOnline Guys, how come my new personalised card has not come as a contact less payment card?",FALSE,0,"BarclaysOnline","2015-01-28 17:29:54",FALSE,NA,560489961800355840,338559800,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","d3Vza",0,FALSE,FALSE,NA,NA,"@BarclaysOnline Guys, how come my new personalised card has not come as a contact less payment card?",0,0,0," guys how come my new personalised card has not come as a contact less payment card","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","8.78232285939751","0.117426534862834","negative"
"2800","@BarclaysOnline well it's not great that I had to ring Cheif exec in order to get answers is it?! #verypoor",FALSE,0,"BarclaysOnline","2015-01-28 17:27:17",FALSE,560441917205270528,560489303353356288,338559800,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","runningshoeguru",0,FALSE,FALSE,NA,NA,"@BarclaysOnline well it's not great that I had to ring Cheif exec in order to get answers is it?! #verypoor",2,1,0," well its not great that i had to ring cheif exec in order to get answers is it verypoor","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","7.34083555412328","7.34083555412327","joy","24.9775602759011","18.5054868578024","1.34973807864828","neutral"
"2801","@BarclaysOnline No because we keep getting transfered to someone else and then getting cut off. Have been on /off telephone since 230pm!",FALSE,0,"BarclaysOnline","2015-01-28 17:27:09",FALSE,560487957820616704,560489269094277120,338559800,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BecksPearson33",0,FALSE,FALSE,NA,NA,"@BarclaysOnline No because we keep getting transfered to someone else and then getting cut off. Have been on /off telephone since 230pm!",0,0,0," no because we keep getting transfered to someone else and then getting cut off have been on off telephone since 230pm","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","8.78232285939751","0.117426534862834","negative"
"2802","@TetradGus @lukewhitt_ @Xero Ironic that @BarclaysOnline strapline is 'Online Banking made easy'!!",FALSE,0,"TetradGus","2015-01-28 17:22:15",FALSE,560484370478555136,560488034387623936,196970152,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Newsjackers",0,FALSE,FALSE,NA,NA,"@TetradGus @lukewhitt_ @Xero Ironic that @BarclaysOnline strapline is 'Online Banking made easy'!!",0,0,0,"   ironic that  strapline is online banking made easy","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","8.78232285939751","9.47547003995745","0.926848253686942","negative"
"2803","@BarclaysOnline aha no not at all - just digital presence specialists @bentoLDN were discussing coding in education!",FALSE,0,"BarclaysOnline","2015-01-28 17:22:06",FALSE,560476929888104448,560487997892984832,338559800,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LewisFountain",0,FALSE,FALSE,NA,NA,"@BarclaysOnline aha no not at all - just digital presence specialists @bentoLDN were discussing coding in education!",0,0,0," aha no not at all  just digital presence specialists  were discussing coding in education","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","17.2265151579293","0.445453222112551","38.6718836070664","positive"
"2804","@BarclaysOnline that makes two of us",FALSE,0,"BarclaysOnline","2015-01-28 17:21:08",FALSE,560486733763342336,560487752102592512,338559800,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LockPimp",0,FALSE,FALSE,NA,NA,"@BarclaysOnline that makes two of us",0,0,0," that makes two of us","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"2805","@BarclaysOnline thank you!!! I hope they can :)",FALSE,0,"BarclaysOnline","2015-01-28 17:17:42",FALSE,560486392514752512,560486887799140352,338559800,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jessfrostx",0,FALSE,FALSE,-0.32330371,51.44720361,"@BarclaysOnline thank you!!! I hope they can :)",1,0,0," thank you i hope they can ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","17.9196623384892","0.445453222112551","40.2279329207804","positive"
"2806","RT @SocialProgress1: We had a great time at the @BarclaysOnline #DigitalBusinessClub last night! @Digitaleagles @SoProJanet @SoProEsther ht…",FALSE,0,NA,"2015-01-28 17:12:24",FALSE,NA,560485555864354816,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MochrieNigel",4,TRUE,FALSE,NA,NA,"RT @SocialProgress1: We had a great time at the @BarclaysOnline #DigitalBusinessClub last night! @Digitaleagles @SoProJanet @SoProEsther ht…",1,0,0," we had a great time at the  digitalbusinessclub last night    ht…","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","9.47547003995745","9.47547003995745","1","neutral"
"2807","RT @SocialProgress1: .@SoProJanet how was YOUR @googleglass experience @BarclaysOnline #DigitalBusinessClub last night? @Digitaleagles http…",FALSE,0,NA,"2015-01-28 17:12:13",FALSE,NA,560485510125477888,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MochrieNigel",4,TRUE,FALSE,NA,NA,"RT @SocialProgress1: .@SoProJanet how was YOUR @googleglass experience @BarclaysOnline #DigitalBusinessClub last night? @Digitaleagles http…",0,0,0," how was your  experience  digitalbusinessclub last night  http…","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","8.78232285939751","9.47547003995745","0.926848253686942","negative"
"2808","@BarclaysOnline only personal and wealth.",FALSE,0,"BarclaysOnline","2015-01-28 17:11:19",FALSE,560482461873098752,560485282081148928,338559800,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","benfitter",0,FALSE,FALSE,0,0,"@BarclaysOnline only personal and wealth.",0,0,0," only personal and wealth","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","17.2265151579293","0.445453222112551","38.6718836070664","positive"
"2809","@BarclaysOnline and today get a letter saying it's being reduced to £250 thanks so if it wasn't for using another card how would I get fuel",FALSE,0,"BarclaysOnline","2015-01-28 17:11:06",FALSE,560483686748262400,560485228423426048,338559800,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","07Barrett",0,FALSE,FALSE,NA,NA,"@BarclaysOnline and today get a letter saying it's being reduced to £250 thanks so if it wasn't for using another card how would I get fuel",0,0,0," and today get a letter saying its being reduced to 250 thanks so if it wasnt for using another card how would i get fuel","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","7.34083555412327","sadness","1.03127774142571","9.47547003995745","0.108836578774127","negative"
