"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","text.1","score","very.pos","very.neg","text.2","anger","disgust","fear","joy","sadness","surprise","emotion","pos","neg","pos_neg","polarity"
"122","@ChaseSupport This Dissapoints me as Bank of @BofA_Help currently has them. I am tempted to move quite a sum there on this basis alone.",FALSE,0,"ChaseSupport","2015-01-27 19:06:26",FALSE,560151512006283264,560151867435388928,274789264,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Daveissuper2011",0,FALSE,FALSE,NA,NA,"@ChaseSupport This Dissapoints me as Bank of @BofA_Help currently has them. I am tempted to move quite a sum there on this basis alone.",0,0,0," this dissapoints me as bank of  currently has them i am tempted to move quite a sum there on this basis alone","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","1.03127774142571","8.78232285939751","0.117426534862834","negative"
"201","@BofA_Help you guys need a phone number that works beyond 5pm for scra violations and the forms 1099-misc that you sent to cover them.",FALSE,0,"BofA_Help","2015-01-28 17:25:38",FALSE,NA,560488885030256640,18735040,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","smoothsaxman",0,FALSE,FALSE,NA,NA,"@BofA_Help you guys need a phone number that works beyond 5pm for scra violations and the forms 1099-misc that you sent to cover them.",1,0,0," you guys need a phone number that works beyond 5pm for scra violations and the forms 1099misc that you sent to cover them","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","8.78232285939751","0.117426534862834","negative"
"202","@BofA_Help I can't access my online acct, because your p/w recovery algorithm keeps flip-flopping, saying I do and don't have an acct.",FALSE,0,"BofA_Help","2015-01-28 17:20:20",FALSE,542365468162809856,560487550700118016,18735040,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","polgara",0,FALSE,FALSE,NA,NA,"@BofA_Help I can't access my online acct, because your p/w recovery algorithm keeps flip-flopping, saying I do and don't have an acct.",1,0,0," i cant access my online acct because your pw recovery algorithm keeps flipflopping saying i do and dont have an acct","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","8.78232285939751","0.445453222112551","19.7154772340574","positive"
"203","@BofA_Help please follow me to DM.",FALSE,0,"BofA_Help","2015-01-28 17:09:15",FALSE,559750461952376832,560484762532339712,18735040,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rordogma",0,FALSE,FALSE,NA,NA,"@BofA_Help please follow me to DM.",0,0,0," please follow me to dm","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"204","RT @BofA_Help: @Ifuckst8bitches  Hi, that’s great to hear! We appreciate your business! ^am",FALSE,0,NA,"2015-01-28 17:08:06",FALSE,NA,560484472110714880,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ifuckst8bitches",1,TRUE,FALSE,NA,NA,"RT @BofA_Help: @Ifuckst8bitches  Hi, that’s great to hear! We appreciate your business! ^am",2,1,0,"  hi that’s great to hear we appreciate your business am","1.46871776464786","3.09234031207392","2.06783599555953","13.6561935556456","1.7277074477352","2.78695866252273","joy","17.9196623384892","0.445453222112551","40.2279329207804","positive"
"205","@BofA_Help Just ordered some stuff online anywhere?",FALSE,0,"BofA_Help","2015-01-28 17:06:40",FALSE,560484109076930560,560484113094672384,18735040,"<a href=""http://negatendo.net"" rel=""nofollow"">negatendo_ebooks</a>","DavebotBarry",0,FALSE,FALSE,NA,NA,"@BofA_Help Just ordered some stuff online anywhere?",0,0,0," just ordered some stuff online anywhere","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","9.47547003995745","1","neutral"
"206","@BofA_Help I called and left a message this morning, but no response. 757-943-9184",FALSE,0,"BofA_Help","2015-01-28 16:37:51",FALSE,560256186357125120,560476859625119744,18735040,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JgemailmeJackie",0,FALSE,FALSE,NA,NA,"@BofA_Help I called and left a message this morning, but no response. 757-943-9184",0,0,0," i called and left a message this morning but no response 7579439184","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","9.47547003995745","0.108836578774127","negative"
"207","@BofA_Help call Jacqueline Gonzalez, Exit Realty Central re: 473 Adkins Arch Virginia Beach VA 23462, 757-943-9184.",FALSE,0,"BofA_Help","2015-01-28 16:33:23",FALSE,NA,560475735954325504,18735040,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JgemailmeJackie",0,FALSE,FALSE,NA,NA,"@BofA_Help call Jacqueline Gonzalez, Exit Realty Central re: 473 Adkins Arch Virginia Beach VA 23462, 757-943-9184.",0,0,0," call jacqueline gonzalez exit realty central re 473 adkins arch virginia beach va 23462 7579439184","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","18.5054868578024","0.0557282145209216","negative"
"208","Hey @BofA_Help, I tried to call to get help with my debit card and ""all circuits are busy""?! How is that possible?",FALSE,1,NA,"2015-01-28 16:33:15",FALSE,NA,560475704576716800,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","thatreenagirl",0,FALSE,FALSE,NA,NA,"Hey @BofA_Help, I tried to call to get help with my debit card and ""all circuits are busy""?! How is that possible?",0,0,0,"hey  i tried to call to get help with my debit card and all circuits are busy how is that possible","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","7.34083555412327","sadness","8.78232285939751","26.8423564950873","0.327181514819865","negative"
"209",". @BofA_Help thanks for the call, although it was no help at all. #totalwasteoftime #worstbankever",FALSE,0,"BofA_Help","2015-01-28 16:32:11",FALSE,560172081288318976,560475435424022528,18735040,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","daphnehelms",0,FALSE,FALSE,NA,NA,". @BofA_Help thanks for the call, although it was no help at all. #totalwasteoftime #worstbankever",0,0,0,"  thanks for the call although it was no help at all totalwasteoftime worstbankever","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","8.78232285939751","17.8123396772424","0.493047124551418","negative"
