"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","text.1","score","very.pos","very.neg","text.2","anger","disgust","fear","joy","sadness","surprise","emotion","pos","neg","pos_neg","polarity"
"593","@AskCapitalOne All you bad banks want me to DM you to limit damage control @CapitalOne @Ask_WellsFargo #usury #yourgoingdown",FALSE,0,"AskCapitalOne","2015-01-27 05:12:58",FALSE,NA,559942117724659712,151887424,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","clipperslive1",0,FALSE,FALSE,NA,NA,"@AskCapitalOne All you bad banks want me to DM you to limit damage control @CapitalOne @Ask_WellsFargo #usury #yourgoingdown",-3,0,1," all you bad banks want me to dm you to limit damage control   usury yourgoingdown","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","2.78695866252273","sadness","9.47547003995745","26.1492093145274","0.362361627305239","negative"
"1107","@AskCapitalOne thank you I will!",FALSE,0,"LokoDolo","2015-01-28 17:03:57",FALSE,560479645544763392,560483428634996736,387616191,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LokoDolo",0,FALSE,FALSE,NA,NA,"@AskCapitalOne thank you I will!",1,0,0," thank you i will","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","17.9196623384892","0.445453222112551","40.2279329207804","positive"
"1108","@AskCapitalOne thanks for following up! It's all good now. I found it odd the payment processed when I got an error message on my end.",FALSE,0,"AskCapitalOne","2015-01-28 16:48:55",FALSE,NA,560479645544763392,151887424,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LokoDolo",0,FALSE,FALSE,NA,NA,"@AskCapitalOne thanks for following up! It's all good now. I found it odd the payment processed when I got an error message on my end.",-1,0,0," thanks for following up its all good now i found it odd the payment processed when i got an error message on my end","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","8.78232285939751","17.1191924966825","0.513010345616444","negative"
"1109","RT @AskCapitalOne: Reminder: Delayed Branch openings for some peeps up north!  Long Island branches opening at 10AM &amp; Eastern Suffolk branc…",FALSE,0,NA,"2015-01-28 16:27:57",FALSE,NA,560474371689418752,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AbeVanVarenberg",1,TRUE,FALSE,NA,NA,"RT @AskCapitalOne: Reminder: Delayed Branch openings for some peeps up north!  Long Island branches opening at 10AM &amp; Eastern Suffolk branc…",-1,0,0," reminder delayed branch openings for some peeps up north  long island branches opening at 10am amp eastern suffolk branc…","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","9.47547003995745","0.108836578774127","negative"
"1110","@AskCapitalOne severely out of pocket because of you not to mention the horrific impact this is having on my credit rating <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>",FALSE,0,"AskCapitalOne","2015-01-28 15:59:55",FALSE,560466837109243904,560467313607315456,151887424,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JakeCampbell127",0,FALSE,FALSE,-3.60029981,57.61551228,"@AskCapitalOne severely out of pocket because of you not to mention the horrific impact this is having on my credit rating <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>",-1,0,0," severely out of pocket because of you not to mention the horrific impact this is having on my credit rating edu00a0u00bdedu00b8u00a1","1.46871776464786","3.09234031207392","7.34083555412328","1.02547755260094","1.7277074477352","2.78695866252273","fear","1.03127774142571","18.5054868578024","0.0557282145209216","negative"
"1111","@AskCapitalOne ive been asking you to change it for months and you keep telling me you've done it but then every month i find myself...",FALSE,0,"AskCapitalOne","2015-01-28 15:59:16",FALSE,560466837109243904,560467150092369920,151887424,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JakeCampbell127",0,FALSE,FALSE,-3.60012154,57.6149581,"@AskCapitalOne ive been asking you to change it for months and you keep telling me you've done it but then every month i find myself...",0,0,0," ive been asking you to change it for months and you keep telling me youve done it but then every month i find myself","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"1112","@AskCapitalOne I'll be coming after you now to pay the huge charges ive had my current account because of your actions, or lack of. 2/2",FALSE,0,"AskCapitalOne","2015-01-28 15:50:03",FALSE,560411971515080704,560464832210948096,151887424,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JakeCampbell127",0,FALSE,FALSE,-3.60006069,57.61566109,"@AskCapitalOne I'll be coming after you now to pay the huge charges ive had my current account because of your actions, or lack of. 2/2",-1,0,0," ill be coming after you now to pay the huge charges ive had my current account because of your actions or lack of 22","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","35.1792261323723","0.0293149638239686","negative"
"1113","@AskCapitalOne had been told repeatedly that my billing date had been changed. it hadn't, that's been two months now. 1/2",FALSE,0,"AskCapitalOne","2015-01-28 15:48:39",FALSE,560411971515080704,560464479629357056,151887424,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JakeCampbell127",0,FALSE,FALSE,-3.60021704,57.61560218,"@AskCapitalOne had been told repeatedly that my billing date had been changed. it hadn't, that's been two months now. 1/2",0,0,0," had been told repeatedly that my billing date had been changed it hadnt thats been two months now 12","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"1114","@AskCapitalOne I received an email about possibly being overcharged on one of my transactions, and I actually was!",FALSE,0,"AskCapitalOne","2015-01-28 14:32:52",FALSE,NA,560445409135693824,151887424,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bmarmol32",0,FALSE,FALSE,NA,NA,"@AskCapitalOne I received an email about possibly being overcharged on one of my transactions, and I actually was!",0,0,0," i received an email about possibly being overcharged on one of my transactions and i actually was","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"1115","RT @AskCapitalOne: Good Morning Tweeps! We're officially here to help! ^RR",FALSE,0,NA,"2015-01-28 14:28:27",FALSE,NA,560444296818479104,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AbeVanVarenberg",1,TRUE,FALSE,NA,NA,"RT @AskCapitalOne: Good Morning Tweeps! We're officially here to help! ^RR",1,0,0," good morning tweeps were officially here to help rr","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","16.5333679773693","0.445453222112551","37.1158342933523","positive"
