"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","text.1","score","very.pos","very.neg","text.2","anger","disgust","fear","joy","sadness","surprise","emotion","pos","neg","pos_neg","polarity"
"599","Can you get someone to follow me so you can call me and I can tell you about what your useless incompetent colleagues have done now @AskCiti",FALSE,1,NA,"2015-01-28 17:32:56",FALSE,NA,560490724530343936,NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","jamesmb",0,FALSE,FALSE,NA,NA,"Can you get someone to follow me so you can call me and I can tell you about what your useless incompetent colleagues have done now @AskCiti",-2,0,1,"can you get someone to follow me so you can call me and i can tell you about what your useless incompetent colleagues have done now ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","7.34083555412327","sadness","1.03127774142571","35.8723733129322","0.0287485227818457","negative"
"600","@AskCiti I'm Indian Citizen and I manage two Credit Cards under that a/c.",FALSE,0,"AskCiti","2015-01-28 17:26:14",FALSE,560487720909537280,560489035202719744,82151473,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hackerzparadize",0,FALSE,FALSE,NA,NA,"@AskCiti I'm Indian Citizen and I manage two Credit Cards under that a/c.",0,0,0," im indian citizen and i manage two credit cards under that ac","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","8.78232285939751","0.445453222112551","19.7154772340574","positive"
"601","@AskCiti I'm not able to access my account on IE 11 Browser on my Laptop with Win 8.1 OS. Please help with required Settings for browser",FALSE,0,"AskCiti","2015-01-28 17:18:42",FALSE,560481306866642944,560487139813515264,82151473,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hackerzparadize",0,FALSE,FALSE,NA,NA,"@AskCiti I'm not able to access my account on IE 11 Browser on my Laptop with Win 8.1 OS. Please help with required Settings for browser",1,0,0," im not able to access my account on ie 11 browser on my laptop with win 81 os please help with required settings for browser","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","32.7286053938729","8.78232285939751","3.72664566286716","positive"
"602","@AskCiti Are there fees associated with  your HSA account?",FALSE,0,"AskCiti","2015-01-28 17:03:51",FALSE,NA,560483403477569536,82151473,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","koufnac",0,FALSE,FALSE,NA,NA,"@AskCiti Are there fees associated with  your HSA account?",0,0,0," are there fees associated with  your hsa account","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","8.78232285939751","0.117426534862834","negative"
"603","@AskCiti Thanks but I got through after 30-35 mins, not good enough if you ask me",FALSE,0,"AskCiti","2015-01-28 16:35:06",FALSE,560475285066637312,560476170756845568,82151473,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","murrayfold",0,FALSE,FALSE,NA,NA,"@AskCiti Thanks but I got through after 30-35 mins, not good enough if you ask me",2,1,0," thanks but i got through after 3035 mins not good enough if you ask me","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","8.78232285939751","9.47547003995745","0.926848253686942","negative"
"604","@AskCiti I truly do appreciate that. This has left a bad taste in my mouth in regards to Citi's hiring practices.",FALSE,0,"AskCiti","2015-01-28 16:32:26",FALSE,560473742682648576,560475496811864064,82151473,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","joe__nova",0,FALSE,FALSE,NA,NA,"@AskCiti I truly do appreciate that. This has left a bad taste in my mouth in regards to Citi's hiring practices.",0,0,0," i truly do appreciate that this has left a bad taste in my mouth in regards to citis hiring practices","1.46871776464786","3.09234031207392","2.06783599555953","13.6561935556456","7.34083555412328","2.78695866252273","joy","25.670707456461","18.5054868578024","1.38719438476365","neutral"
"605","Any chance of you answering the phone @AskCiti UK??",FALSE,0,NA,"2015-01-28 16:27:25",FALSE,NA,560474236998156288,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","murrayfold",0,FALSE,FALSE,NA,NA,"Any chance of you answering the phone @AskCiti UK??",0,0,0,"any chance of you answering the phone  uk","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"606","@AskCiti both reps were in MD and I think they were both in credit disputes. Very helpful!",FALSE,0,"AskCiti","2015-01-28 16:12:42",FALSE,560468344256888832,560470532299431936,82151473,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AMike1",0,FALSE,FALSE,NA,NA,"@AskCiti both reps were in MD and I think they were both in credit disputes. Very helpful!",1,0,0," both reps were in md and i think they were both in credit disputes very helpful","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","17.2265151579293","0.445453222112551","38.6718836070664","positive"
"607","@AskCiti was able to get an answer to my question, unfortunately had to ask to speak with a supervisor for it.",FALSE,0,"AskCiti","2015-01-28 15:27:19",FALSE,560429771981864960,560459109687132160,82151473,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","sallymamorris",0,FALSE,FALSE,NA,NA,"@AskCiti was able to get an answer to my question, unfortunately had to ask to speak with a supervisor for it.",-1,0,0," was able to get an answer to my question unfortunately had to ask to speak with a supervisor for it","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","7.34083555412327","sadness","8.78232285939751","36.5655204934922","0.240180441598269","negative"
"608","@AskCiti tried...not sure how...? Are you unable to email me?",FALSE,0,"sooz709","2015-01-28 15:06:05",FALSE,560452795326005248,560453768534564864,24203493,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sooz709",0,FALSE,FALSE,NA,NA,"@AskCiti tried...not sure how...? Are you unable to email me?",-1,0,0," triednot sure how are you unable to email me","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","8.78232285939751","1.07892526745566","neutral"
