"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","text.1","score","very.pos","very.neg","text.2","anger","disgust","fear","joy","sadness","surprise","emotion","pos","neg","pos_neg","polarity"
"1494","@HSBC_UK_Help Yes but was basically told it's policy... Don't understand why it takes so long to send a card to a branch to be picked up?",FALSE,0,"HSBC_UK_Help","2015-01-28 17:21:26",FALSE,560487318755483648,560487827147063296,321471398,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EmmaMorrish",0,FALSE,FALSE,NA,NA,"@HSBC_UK_Help Yes but was basically told it's policy... Don't understand why it takes so long to send a card to a branch to be picked up?",0,0,0," yes but was basically told its policy dont understand why it takes so long to send a card to a branch to be picked up","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","17.9196623384892","9.47547003995745","1.89116342122587","neutral"
"1495","@HSBC_UK_Help Awful service. 8 working days waiting for a new debit card (after you cancelled it) told it will be a further 6 working days?!",FALSE,0,"HSBC_UK_Help","2015-01-28 17:14:06",FALSE,NA,560485983146479616,321471398,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EmmaMorrish",0,FALSE,FALSE,NA,NA,"@HSBC_UK_Help Awful service. 8 working days waiting for a new debit card (after you cancelled it) told it will be a further 6 working days?!",-1,0,0," awful service 8 working days waiting for a new debit card after you cancelled it told it will be a further 6 working days","1.46871776464786","3.09234031207392","7.34083555412328","1.02547755260094","1.7277074477352","7.34083555412327","fear","9.47547003995745","9.47547003995745","1","neutral"
"1496","Thanks @HSBC_UK_Help for sorting things out for me. Much appreciated. Take a Twitter bow.",FALSE,0,NA,"2015-01-28 16:27:41",FALSE,NA,560474301301030912,NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","Glynnn",0,FALSE,FALSE,NA,NA,"Thanks @HSBC_UK_Help for sorting things out for me. Much appreciated. Take a Twitter bow.",1,0,0,"thanks  for sorting things out for me much appreciated take a twitter bow","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","1.03127774142571","9.47547003995745","0.108836578774127","negative"
"1497","@HSBC_UK_Help All sorted - thank you for your help.",FALSE,0,"HSBC_UK_Help","2015-01-28 16:26:38",FALSE,560456195115581440,560474037676433408,321471398,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","Glynnn",0,FALSE,FALSE,NA,NA,"@HSBC_UK_Help All sorted - thank you for your help.",1,0,0," all sorted  thank you for your help","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","17.2265151579293","0.445453222112551","38.6718836070664","positive"
"1498","@HSBC_UK_Help Sure",FALSE,0,"HSBC_UK_Help","2015-01-28 16:20:28",FALSE,560472251200733184,560472484919922688,321471398,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yeltrikFFC",0,FALSE,FALSE,NA,NA,"@HSBC_UK_Help Sure",0,0,0," sure","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"1499","@HSBC_UK_Help If they said 30 min wait I would've just left.",FALSE,0,"HSBC_UK_Help","2015-01-28 16:17:32",FALSE,560466281435246592,560471746890194944,321471398,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yeltrikFFC",0,FALSE,FALSE,NA,NA,"@HSBC_UK_Help If they said 30 min wait I would've just left.",0,0,0," if they said 30 min wait i wouldve just left","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","9.47547003995745","1","neutral"
"1500","@HSBC_UK_Help Staff said I wouldn't be waiting long then don't speak to me for half hour.",FALSE,0,"HSBC_UK_Help","2015-01-28 16:17:17",FALSE,560466281435246592,560471685393297408,321471398,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yeltrikFFC",0,FALSE,FALSE,NA,NA,"@HSBC_UK_Help Staff said I wouldn't be waiting long then don't speak to me for half hour.",0,0,0," staff said i wouldnt be waiting long then dont speak to me for half hour","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","9.47547003995745","0.108836578774127","negative"
"1501","@HSBC_UK_Help Not around yet but maybe soon,",FALSE,0,"HSBC_UK_Help","2015-01-28 16:15:49",FALSE,560468964321808384,560471315963195392,321471398,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Liam_Batey1",0,FALSE,FALSE,NA,NA,"@HSBC_UK_Help Not around yet but maybe soon,",0,0,0," not around yet but maybe soon","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"1502","@HSBC_UK_Help ...and replacement security token for online banking. Got the token but still have to phone support to get a code. Waste.",FALSE,0,"HSBC_UK_Help","2015-01-28 16:14:54",FALSE,560466281435246592,560471085356167168,321471398,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yeltrikFFC",0,FALSE,FALSE,NA,NA,"@HSBC_UK_Help ...and replacement security token for online banking. Got the token but still have to phone support to get a code. Waste.",0,0,0," and replacement security token for online banking got the token but still have to phone support to get a code waste","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","7.34083555412327","sadness","17.2265151579293","17.8123396772424","0.967111309916146","negative"
"1503","@HSBC_UK_Help Belgravia, Liverpool St. You name it. Min half hour wait every time to do anything. This time it was change of address...",FALSE,0,"HSBC_UK_Help","2015-01-28 16:13:24",FALSE,560466281435246592,560470706308526080,321471398,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yeltrikFFC",0,FALSE,FALSE,NA,NA,"@HSBC_UK_Help Belgravia, Liverpool St. You name it. Min half hour wait every time to do anything. This time it was change of address...",0,0,0," belgravia liverpool st you name it min half hour wait every time to do anything this time it was change of address","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
