"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","text.1","score","very.pos","very.neg","text.2","anger","disgust","fear","joy","sadness","surprise","emotion","pos","neg","pos_neg","polarity"
"2748","@AskHuntington Don't bother. I just have to deal with your bank being the last place I have to write a physical check to.",FALSE,0,"AskHuntington","2015-01-28 15:23:26",FALSE,560456903499993088,560458135383851008,1077566174,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DartmanX",0,FALSE,FALSE,NA,NA,"@AskHuntington Don't bother. I just have to deal with your bank being the last place I have to write a physical check to.",-1,0,0," dont bother i just have to deal with your bank being the last place i have to write a physical check to","7.34083555412328","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","anger","17.2265151579293","26.8423564950873","0.641766126646967","negative"
"2749","@AskHuntington :Kindly retweet this amazing Google-patent pending lock screen app :https://t.co/A4YvGz9a1W

Video :https://t.co/lZkdhHIrQE",FALSE,0,"AskHuntington","2015-01-27 18:59:01",FALSE,NA,560150000861454336,1077566174,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tracyfilter",0,FALSE,FALSE,NA,NA,"@AskHuntington :Kindly retweet this amazing Google-patent pending lock screen app :https://t.co/A4YvGz9a1W

Video :https://t.co/lZkdhHIrQE",2,1,0," kindly retweet this amazing googlepatent pending lock screen app 

video ","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","7.34083555412327","joy","17.9196623384892","0.445453222112551","40.2279329207804","positive"
"2750","Sadly the @AskHuntington rep was wrong and I'm pissed off at @Huntington_Bank again.",FALSE,0,NA,"2015-01-27 15:43:41",FALSE,NA,560100843056529408,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kragit",0,FALSE,FALSE,NA,NA,"Sadly the @AskHuntington rep was wrong and I'm pissed off at @Huntington_Bank again.",-2,0,1,"sadly the  rep was wrong and im pissed off at  again","7.34083555412328","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","2.78695866252273","anger","1.03127774142571","17.8123396772424","0.0578968153601572","negative"
"2751","I really hope the @AskHuntington rep I just talked to on the phone was correct and I won't be angry at @Huntington_Bank in the morning.",FALSE,0,NA,"2015-01-27 06:30:28",FALSE,NA,559961619321856000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kragit",0,FALSE,FALSE,NA,NA,"I really hope the @AskHuntington rep I just talked to on the phone was correct and I won't be angry at @Huntington_Bank in the morning.",0,0,0,"i really hope the  rep i just talked to on the phone was correct and i wont be angry at  in the morning","7.34083555412328","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","anger","25.670707456461","9.47547003995745","2.70917509613869","positive"
"2752","Fed up with @AskHuntington ...",FALSE,0,NA,"2015-01-25 05:27:24",FALSE,NA,559220973191184384,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sober_Shaune",0,FALSE,FALSE,NA,NA,"Fed up with @AskHuntington ...",0,0,0,"fed up with  ","1.46871776464786","7.34083555412328","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","disgust","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"2753","How do I verify my apple pay?  Can't seem to figure it out @AskHuntington",FALSE,0,NA,"2015-01-23 22:45:28",FALSE,NA,558757435033518080,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chevyracer81",0,FALSE,FALSE,NA,NA,"How do I verify my apple pay?  Can't seem to figure it out @AskHuntington",0,0,0,"how do i verify my apple pay  cant seem to figure it out ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","17.8123396772424","0.0578968153601572","negative"
"2754","@AskHuntington Not 100% pleased with how your Sup Grant handled my call &amp; q's about 24hr grace. Pull the call to hear laughing as I speak.",FALSE,0,"AskHuntington","2015-01-23 20:31:26",FALSE,NA,558723706441453568,1077566174,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","davess",0,FALSE,FALSE,NA,NA,"@AskHuntington Not 100% pleased with how your Sup Grant handled my call &amp; q's about 24hr grace. Pull the call to hear laughing as I speak.",2,1,0," not 100 pleased with how your sup grant handled my call amp qs about 24hr grace pull the call to hear laughing as i speak","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","17.9196623384892","18.5054868578024","0.968343198759661","negative"
"2756","@AskHuntington I go to make an incredibly important car rental &amp; my card has been hacked &amp; account is locked!  Absolutely shaking upset RN",FALSE,0,"AskHuntington","2015-01-23 17:41:53",FALSE,NA,558681036968980480,1077566174,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","DaddddyJ",0,FALSE,FALSE,NA,NA,"@AskHuntington I go to make an incredibly important car rental &amp; my card has been hacked &amp; account is locked!  Absolutely shaking upset RN",1,0,0," i go to make an incredibly important car rental amp my card has been hacked amp account is locked  absolutely shaking upset rn","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","17.2265151579293","17.1191924966825","1.00626914273366","neutral"
"2757","Why has @AskHuntington 1 800 number been down all day? Not happy at all...",FALSE,0,NA,"2015-01-23 16:25:34",FALSE,NA,558661832605712384,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sweet_baby_rae",0,FALSE,FALSE,NA,NA,"Why has @AskHuntington 1 800 number been down all day? Not happy at all...",1,0,0,"why has  1 800 number been down all day not happy at all","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"2758","@AskHuntington It's going to take a lot for things to be ""fixed"". The damage is done &amp; I have nothing good to say about the bank.",FALSE,0,"AskHuntington","2015-01-23 16:21:38",FALSE,558627704443244544,558660840723722240,1077566174,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","rayofgrace11",0,FALSE,FALSE,NA,NA,"@AskHuntington It's going to take a lot for things to be ""fixed"". The damage is done &amp; I have nothing good to say about the bank.",0,0,0," its going to take a lot for things to be fixed the damage is done amp i have nothing good to say about the bank","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","8.78232285939751","17.1191924966825","0.513010345616444","negative"
