"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","text.1","score","very.pos","very.neg","text.2","anger","disgust","fear","joy","sadness","surprise","emotion","pos","neg","pos_neg","polarity"
"2317","@KeyBank_Help what day",FALSE,0,"KeyBank_Help","2015-01-28 16:03:49",FALSE,559707863825018880,560468297993703424,113527012,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","addanwhite",0,FALSE,FALSE,NA,NA,"@KeyBank_Help what day",0,0,0," what day","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"2318","@KeyBank_Help worst bank ever! Cannot even fathom the amount of money I've paid to your bank in fees over our relationship.",FALSE,0,"KeyBank_Help","2015-01-28 15:14:43",FALSE,NA,560455941888696320,113527012,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","joseph_hickman",0,FALSE,FALSE,-83.0850845,42.5026855,"@KeyBank_Help worst bank ever! Cannot even fathom the amount of money I've paid to your bank in fees over our relationship.",-1,0,0," worst bank ever cannot even fathom the amount of money ive paid to your bank in fees over our relationship","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","24.9775602759011","17.8123396772424","1.40226161910741","neutral"
"2319","@KeyBank_Help when will you support Apple Pay?",FALSE,0,"KeyBank_Help","2015-01-28 03:00:59",FALSE,NA,560271291375431680,113527012,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","evanrodecap",0,FALSE,FALSE,NA,NA,"@KeyBank_Help when will you support Apple Pay?",1,0,0," when will you support apple pay","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","17.9196623384892","9.47547003995745","1.89116342122587","neutral"
"2320","@Ryan6438 @KeyBank_Help Undetermined. They say ""first quarter"" so it could be soon.",FALSE,0,"Ryan6438","2015-01-27 22:57:04",FALSE,560209088928165888,560209906612305920,312405148,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jazzmasters",0,FALSE,FALSE,NA,NA,"@Ryan6438 @KeyBank_Help Undetermined. They say ""first quarter"" so it could be soon.",-1,0,0,"  undetermined they say first quarter so it could be soon","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","8.78232285939751","0.117426534862834","negative"
"2321","@KeyBank_Help @jazzmasters any update on with this will be happening?",FALSE,0,"KeyBank_Help","2015-01-27 22:53:49",FALSE,527918775925223424,560209088928165888,113527012,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","Ryan6438",0,FALSE,FALSE,NA,NA,"@KeyBank_Help @jazzmasters any update on with this will be happening?",0,0,0,"  any update on with this will be happening","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"2322","RT @KeyBank_Help: @jazzmasters Thank you for asking about Apple Pay! We are pleased KeyBank will be offering this feature to our clients in…",FALSE,0,NA,"2015-01-26 13:51:44",FALSE,NA,559710281652523008,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JumpingJeff63",1,TRUE,FALSE,NA,NA,"RT @KeyBank_Help: @jazzmasters Thank you for asking about Apple Pay! We are pleased KeyBank will be offering this feature to our clients in…",2,1,0," thank you for asking about apple pay we are pleased keybank will be offering this feature to our clients in…","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","26.3638546370209","9.47547003995745","2.78232684245175","positive"
"2323","@KeyBank_Help thank you for the impersonal automated response.",FALSE,0,"KeyBank_Help","2015-01-26 13:43:16",FALSE,559707863825018880,559708151269064704,113527012,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jazzmasters",0,FALSE,FALSE,NA,NA,"@KeyBank_Help thank you for the impersonal automated response.",0,0,0," thank you for the impersonal automated response","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","8.78232285939751","1.07892526745566","neutral"
"2324","@KeyBank_Help Is Apple Pay coming soon truly?",FALSE,1,"KeyBank_Help","2015-01-25 14:27:34",FALSE,NA,559356909967671296,113527012,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jazzmasters",0,FALSE,FALSE,NA,NA,"@KeyBank_Help Is Apple Pay coming soon truly?",0,0,0," is apple pay coming soon truly","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","9.47547003995745","1","neutral"
"2325","@KeyBank_Help STINKS!!!!!!! Such a poopy system. They screw you over any chance they get. Grrrr <ed><U+00A0><U+00BD><ed><U+00B2><U+00A9><ed><U+00A0><U+00BD><ed><U+00B2><U+00A9><ed><U+00A0><U+00BD><ed><U+00B2><U+00A9>",FALSE,0,"KeyBank_Help","2015-01-24 15:25:50",FALSE,NA,559009186592608256,113527012,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Shayla_3v3",0,FALSE,FALSE,NA,NA,"@KeyBank_Help STINKS!!!!!!! Such a poopy system. They screw you over any chance they get. Grrrr <ed><U+00A0><U+00BD><ed><U+00B2><U+00A9><ed><U+00A0><U+00BD><ed><U+00B2><U+00A9><ed><U+00A0><U+00BD><ed><U+00B2><U+00A9>",-1,0,0," stinks such a poopy system they screw you over any chance they get grrrr edu00a0u00bdedu00b2u00a9edu00a0u00bdedu00b2u00a9edu00a0u00bdedu00b2u00a9","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","7.34083555412327","sadness","1.03127774142571","17.8123396772424","0.0578968153601572","negative"
"2326","@KeyBank_Help +1 for apple pay! Will you be sending out a notification when it's ready? Thanks!",FALSE,1,"KeyBank_Help","2015-01-24 00:42:35",FALSE,527083452290830336,558786910454550528,113527012,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RonnieTheDuke",0,FALSE,FALSE,NA,NA,"@KeyBank_Help +1 for apple pay! Will you be sending out a notification when it's ready? Thanks!",1,0,0," 1 for apple pay will you be sending out a notification when its ready thanks","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","17.2265151579293","9.47547003995745","1.81801167491282","neutral"
