"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","text.1","score","very.pos","very.neg","text.2","anger","disgust","fear","joy","sadness","surprise","emotion","pos","neg","pos_neg","polarity"
"906","@PNCBank_Help I DMed you know what?",FALSE,0,"PNCBank_Help","2015-01-28 17:03:13",FALSE,560419697360142336,560483246212120576,540920045,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","c_coooper",0,FALSE,FALSE,-83.27721073,42.25097073,"@PNCBank_Help I DMed you know what?",0,0,0," i dmed you know what","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"912","@PNCBank_Help frustrating experience today. the mobile app deposits do a poor jobs of notifications",FALSE,0,"PNCBank_Help","2015-01-28 16:57:04",FALSE,NA,560481698345795584,540920045,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","jasonkarns",0,FALSE,FALSE,NA,NA,"@PNCBank_Help frustrating experience today. the mobile app deposits do a poor jobs of notifications",-2,0,1," frustrating experience today the mobile app deposits do a poor jobs of notifications","7.34083555412328","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","2.78695866252273","anger","8.78232285939751","17.8123396772424","0.493047124551418","negative"
"913","@PNCBank_Help I would consider myself pretty tech savvy....but I'm having the WORST time trying to call you and get to the right place.",FALSE,0,"PNCBank_Help","2015-01-28 16:11:49",FALSE,NA,560470308071940096,540920045,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","allons_mari",0,FALSE,FALSE,NA,NA,"@PNCBank_Help I would consider myself pretty tech savvy....but I'm having the WORST time trying to call you and get to the right place.",1,0,0," i would consider myself pretty tech savvybut im having the worst time trying to call you and get to the right place","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","7.34083555412327","sadness","25.670707456461","35.8723733129322","0.715612185246928","negative"
"914","@PNCBank_Help Where can I find my 1099-INT information?",FALSE,0,"PNCBank_Help","2015-01-28 16:10:58",FALSE,NA,560470095794040832,540920045,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cjburt99",0,FALSE,FALSE,NA,NA,"@PNCBank_Help Where can I find my 1099-INT information?",0,0,0," where can i find my 1099int information","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"915","@PNCBank_Help virtual wallet",FALSE,0,"PNCBank_Help","2015-01-28 14:25:44",FALSE,560440935088414720,560443610836238336,540920045,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_laurengram",0,FALSE,FALSE,NA,NA,"@PNCBank_Help virtual wallet",0,0,0," virtual wallet","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"916","PNC has a $15 service charge to bank with them now?? L. M. A. O. Bye yal @PNCBank @PNCBank_Help",FALSE,0,NA,"2015-01-28 13:23:55",FALSE,NA,560428056842874880,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_laurengram",0,FALSE,FALSE,NA,NA,"PNC has a $15 service charge to bank with them now?? L. M. A. O. Bye yal @PNCBank @PNCBank_Help",0,0,0,"pnc has a 15 service charge to bank with them now l m a o bye yal  ","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","1.03127774142571","8.78232285939751","0.117426534862834","negative"
"917","@PNCBank_Help can you give me a call back we got disconnected",FALSE,0,"PNCBank_Help","2015-01-28 13:12:02",FALSE,560037649927639040,560425064160829440,540920045,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","troy_donavon",0,FALSE,FALSE,NA,NA,"@PNCBank_Help can you give me a call back we got disconnected",0,0,0," can you give me a call back we got disconnected","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","8.78232285939751","9.47547003995745","0.926848253686942","negative"
"918","@PNCBank_Help if I want to have my mortgage payments deducted from my pnc account and the mortgage company wants a bank address what do iput",FALSE,0,"PNCBank_Help","2015-01-28 12:59:26",FALSE,NA,560421893921325056,540920045,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cslamacchia",0,FALSE,FALSE,NA,NA,"@PNCBank_Help if I want to have my mortgage payments deducted from my pnc account and the mortgage company wants a bank address what do iput",0,0,0," if i want to have my mortgage payments deducted from my pnc account and the mortgage company wants a bank address what do iput","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","17.1191924966825","0.553499824351745","negative"
"919","@PNCBank_Help why do I need 2 speak with another?",FALSE,0,"PNCBank_Help","2015-01-28 12:57:43",FALSE,560419691282595840,560421462881075200,540920045,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WIMSJ",0,FALSE,FALSE,NA,NA,"@PNCBank_Help why do I need 2 speak with another?",0,0,0," why do i need 2 speak with another","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","8.78232285939751","0.117426534862834","negative"
"920","@PNCBank_Help as I tweeted before the specialist I was dealing with informed me last night I would not B getting an extension.",FALSE,0,"PNCBank_Help","2015-01-28 12:57:16",FALSE,560419691282595840,560421349597118464,540920045,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WIMSJ",0,FALSE,FALSE,NA,NA,"@PNCBank_Help as I tweeted before the specialist I was dealing with informed me last night I would not B getting an extension.",0,0,0," as i tweeted before the specialist i was dealing with informed me last night i would not b getting an extension","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","9.47547003995745","0.108836578774127","negative"
