"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","text.1","score","very.pos","very.neg","text.2","anger","disgust","fear","joy","sadness","surprise","emotion","pos","neg","pos_neg","polarity"
"1145","@AskCapitalOne I heard no NSF fees on your banking? True? May switch after giving Regions over $4k in NSF fees last year! @askRegions",FALSE,0,"AskCapitalOne","2015-01-27 22:51:02",FALSE,NA,560208389687349248,151887424,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mangofish26",0,FALSE,FALSE,NA,NA,"@AskCapitalOne I heard no NSF fees on your banking? True? May switch after giving Regions over $4k in NSF fees last year! @askRegions",0,0,0," i heard no nsf fees on your banking true may switch after giving regions over 4k in nsf fees last year ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","9.47547003995745","0.108836578774127","negative"
"2141","We love that @askRegions wants to see the good! #Regions #inspiration http://t.co/69sryygXEt",FALSE,0,NA,"2015-01-28 16:52:57",FALSE,NA,560480660918255616,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GOTRBham",0,FALSE,FALSE,NA,NA,"We love that @askRegions wants to see the good! #Regions #inspiration http://t.co/69sryygXEt",3,1,0,"we love that  wants to see the good regions inspiration ","1.46871776464786","3.09234031207392","2.06783599555953","13.6561935556456","1.7277074477352","2.78695866252273","joy","25.670707456461","0.445453222112551","57.6282899800754","positive"
"2142","RT @cgraw1: @TheILRC has @askRegions bank here to teach us how to best manage our personal finances. #money #finance",FALSE,0,NA,"2015-01-28 16:02:09",FALSE,NA,560467878617833472,NA,"<a href=""http://socialmediaintegrator.net"" rel=""nofollow"">SocialMediaIntegrator</a>","FinanceWeekly1",1,TRUE,FALSE,NA,NA,"RT @cgraw1: @TheILRC has @askRegions bank here to teach us how to best manage our personal finances. #money #finance",1,0,0," has  bank here to teach us how to best manage our personal finances money finance","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","25.670707456461","8.78232285939751","2.92299746518566","positive"
"2143","@TheILRC has @askRegions bank here to teach us how to best manage our personal finances. #money #finance",FALSE,0,"TheILRC","2015-01-28 16:01:00",FALSE,NA,560467585880571904,27009055,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cgraw1",1,FALSE,FALSE,NA,NA,"@TheILRC has @askRegions bank here to teach us how to best manage our personal finances. #money #finance",1,0,0," has  bank here to teach us how to best manage our personal finances money finance","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","25.670707456461","8.78232285939751","2.92299746518566","positive"
"2144","The @askRegions has 127 calculators to help you find out how to best save your money, and they are free! Check out http://t.co/KYAbHmmv5d!",FALSE,0,NA,"2015-01-28 15:55:59",FALSE,NA,560466324720467968,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheILRC",0,FALSE,FALSE,NA,NA,"The @askRegions has 127 calculators to help you find out how to best save your money, and they are free! Check out http://t.co/KYAbHmmv5d!",2,1,0,"the  has 127 calculators to help you find out how to best save your money and they are free check out ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","24.9775602759011","0.445453222112551","56.0722406663613","positive"
"2145","The @askRegions website is a great resource for financial management.",FALSE,0,NA,"2015-01-28 15:54:53",FALSE,NA,560466048588451840,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheILRC",0,FALSE,FALSE,NA,NA,"The @askRegions website is a great resource for financial management.",1,0,0,"the  website is a great resource for financial management","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"2146","@askRegions it's greatly appreciated!",FALSE,0,"askRegions","2015-01-28 15:54:20",FALSE,560465758552358912,560465908892983296,402318272,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheILRC",0,FALSE,FALSE,NA,NA,"@askRegions it's greatly appreciated!",1,0,0," its greatly appreciated","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"2147","RT @TheILRC: Today @askRegions Bank is here teaching us how to best manage our money. #finance #moneymanagement http://t.co/haMZLS4mSR",FALSE,0,NA,"2015-01-28 15:14:53",FALSE,NA,560455982795718656,NA,"<a href=""http://socialmediaintegrator.net"" rel=""nofollow"">SocialMediaIntegrator</a>","FinanceWeekly1",1,TRUE,FALSE,NA,NA,"RT @TheILRC: Today @askRegions Bank is here teaching us how to best manage our money. #finance #moneymanagement http://t.co/haMZLS4mSR",1,0,0," today  bank is here teaching us how to best manage our money finance moneymanagement ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","17.2265151579293","8.78232285939751","1.96149873259283","neutral"
"2148","Today @askRegions Bank is here teaching us how to best manage our money. #finance #moneymanagement http://t.co/haMZLS4mSR",FALSE,0,NA,"2015-01-28 15:14:29",FALSE,NA,560455880836390912,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheILRC",1,FALSE,FALSE,NA,NA,"Today @askRegions Bank is here teaching us how to best manage our money. #finance #moneymanagement http://t.co/haMZLS4mSR",1,0,0,"today  bank is here teaching us how to best manage our money finance moneymanagement ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","17.2265151579293","8.78232285939751","1.96149873259283","neutral"
"2149","RT @askRegions: In the game of life, it’s helpful to have a playbook. We’re here to help: http://t.co/qbALLUY3Ja.",FALSE,0,NA,"2015-01-28 15:12:26",FALSE,NA,560455364022632448,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","pointgigs",1,TRUE,FALSE,NA,NA,"RT @askRegions: In the game of life, it’s helpful to have a playbook. We’re here to help: http://t.co/qbALLUY3Ja.",1,0,0," in the game of life it’s helpful to have a playbook we’re here to help ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","16.5333679773693","8.78232285939751","1.88257346513717","neutral"
"2150","@askRegions I can't log in to my online banking account. Why? Your site or app isn't working",FALSE,0,"askRegions","2015-01-28 14:41:54",FALSE,NA,560447679248211968,402318272,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AU_Tyler1841",0,FALSE,FALSE,NA,NA,"@askRegions I can't log in to my online banking account. Why? Your site or app isn't working",0,0,0," i cant log in to my online banking account why your site or app isnt working","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","8.78232285939751","8.78232285939751","1","neutral"
"2151","@askRegions is there something wrong with your online login process? I can't sign in to my account online",FALSE,0,"askRegions","2015-01-28 13:59:00",FALSE,NA,560436885634682880,402318272,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaredv87",0,FALSE,FALSE,NA,NA,"@askRegions is there something wrong with your online login process? I can't sign in to my account online",-1,0,0," is there something wrong with your online login process i cant sign in to my account online","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","17.1191924966825","0.0602410272345239","negative"
"2152","@askRegions Just need to get my money back...  Heading to the branch today!",FALSE,0,"askRegions","2015-01-28 13:14:23",FALSE,560424289095413760,560425655264104448,402318272,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","momto19s",0,FALSE,FALSE,NA,NA,"@askRegions Just need to get my money back...  Heading to the branch today!",0,0,0," just need to get my money back  heading to the branch today","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","7.34083555412327","sadness","17.2265151579293","17.8123396772424","0.967111309916146","negative"
"2153","@askRegions Huge shout out to Regions Bank whose fraud dept kept some thief from cleaning out my checking account!  Awesome!",FALSE,1,"askRegions","2015-01-28 11:43:07",FALSE,NA,560402687796477952,402318272,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","momto19s",0,FALSE,FALSE,NA,NA,"@askRegions Huge shout out to Regions Bank whose fraud dept kept some thief from cleaning out my checking account!  Awesome!",0,0,0," huge shout out to regions bank whose fraud dept kept some thief from cleaning out my checking account  awesome","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","25.4560621339674","0.372228429915474","negative"
"2154","RT @askRegions: With Regions Mobile Deposit, you can make a deposit from anywhere. https://t.co/vZuCI3OCu0",FALSE,0,NA,"2015-01-28 04:24:12",FALSE,NA,560292230226018304,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","melvinamsmaria",13,TRUE,FALSE,NA,NA,"RT @askRegions: With Regions Mobile Deposit, you can make a deposit from anywhere. https://t.co/vZuCI3OCu0",0,0,0," with regions mobile deposit you can make a deposit from anywhere ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"2155","RT @askRegions: Good credit looks great on you. Pay bills and cards in full, pay on time, check your credit report. #RealisticFinancialReso…",FALSE,0,NA,"2015-01-28 02:32:22",FALSE,NA,560264086760337408,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pogysafyryn",7,TRUE,FALSE,NA,NA,"RT @askRegions: Good credit looks great on you. Pay bills and cards in full, pay on time, check your credit report. #RealisticFinancialReso…",2,1,0," good credit looks great on you pay bills and cards in full pay on time check your credit report realisticfinancialreso…","1.46871776464786","3.09234031207392","2.06783599555953","13.6561935556456","1.7277074477352","2.78695866252273","joy","17.2265151579293","9.47547003995745","1.81801167491282","neutral"
"2157","@askRegions Tried 2deposit $ to stave off NSF bomb,told 2 late due to new policy: NSF automatic as soon as U swipe debit card. #New Bank",FALSE,0,"askRegions","2015-01-27 22:45:33",FALSE,NA,560207008679206912,402318272,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mangofish26",0,FALSE,FALSE,NA,NA,"@askRegions Tried 2deposit $ to stave off NSF bomb,told 2 late due to new policy: NSF automatic as soon as U swipe debit card. #New Bank",-1,0,0," tried 2deposit  to stave off nsf bombtold 2 late due to new policy nsf automatic as soon as u swipe debit card new bank","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","17.8123396772424","0.0578968153601572","negative"
