"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","text.1","score","very.pos","very.neg","text.2","anger","disgust","fear","joy","sadness","surprise","emotion","pos","neg","pos_neg","polarity"
"2478","@santanderukhelp get reply ""sorry but we cannot asses your account information?"" the same message I get from 8003899905",FALSE,0,"santanderukhelp","2015-01-28 17:02:35",FALSE,560482198898618368,560483086065221632,962692878,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jimimullin1",0,FALSE,FALSE,NA,NA,"@santanderukhelp get reply ""sorry but we cannot asses your account information?"" the same message I get from 8003899905",-1,0,0," get reply sorry but we cannot asses your account information the same message i get from 8003899905","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","12.9539636605113","7.34083555412327","sadness","1.03127774142571","26.8423564950873","0.0384197915564697","negative"
"2479","@santanderukhelp sorry but this doesn't help? I’ve not been notified if the application was successful?",FALSE,0,"santanderukhelp","2015-01-28 16:56:50",FALSE,560477886873075712,560481638568972288,962692878,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jimimullin1",0,FALSE,FALSE,0,0,"@santanderukhelp sorry but this doesn't help? I’ve not been notified if the application was successful?",0,0,0," sorry but this doesnt help i’ve not been notified if the application was successful","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","2.78695866252273","sadness","16.5333679773693","9.47547003995745","1.74485992859976","neutral"
"2480","@santanderukhelp Thanks, but I now have no money to get to Lytham",FALSE,0,"santanderukhelp","2015-01-28 16:35:42",FALSE,560476031321399296,560476318551539712,962692878,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lewisjackpotter",0,FALSE,FALSE,NA,NA,"@santanderukhelp Thanks, but I now have no money to get to Lytham",0,0,0," thanks but i now have no money to get to lytham","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","7.34083555412327","sadness","1.03127774142571","9.47547003995745","0.108836578774127","negative"
"2481","@santanderukhelp St Anne's <ed><U+00A0><U+00BD><ed><U+00B1><U+00B2><ed><U+00A0><U+00BD><ed><U+00B1><U+00B2><ed><U+00A0><U+00BD><ed><U+00B1><U+00B2><ed><U+00A0><U+00BD><ed><U+00B1><U+00B2><ed><U+00A0><U+00BD><ed><U+00B1><U+00B2><ed><U+00A0><U+00BD><ed><U+00B1><U+00B2><ed><U+00A0><U+00BD><ed><U+00B1><U+00B2><ed><U+00A0><U+00BD><ed><U+00B1><U+00B2><ed><U+00A0><U+00BD><ed><U+00B1><U+00B2><ed><U+00A0><U+00BD><ed><U+00B1><U+00B2><ed><U+00A0><U+00BD><ed><U+00B1><U+00B2>",FALSE,0,"santanderukhelp","2015-01-28 16:19:27",FALSE,560445461707124736,560472230917074944,962692878,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lewisjackpotter",0,FALSE,FALSE,NA,NA,"@santanderukhelp St Anne's <ed><U+00A0><U+00BD><ed><U+00B1><U+00B2><ed><U+00A0><U+00BD><ed><U+00B1><U+00B2><ed><U+00A0><U+00BD><ed><U+00B1><U+00B2><ed><U+00A0><U+00BD><ed><U+00B1><U+00B2><ed><U+00A0><U+00BD><ed><U+00B1><U+00B2><ed><U+00A0><U+00BD><ed><U+00B1><U+00B2><ed><U+00A0><U+00BD><ed><U+00B1><U+00B2><ed><U+00A0><U+00BD><ed><U+00B1><U+00B2><ed><U+00A0><U+00BD><ed><U+00B1><U+00B2><ed><U+00A0><U+00BD><ed><U+00B1><U+00B2><ed><U+00A0><U+00BD><ed><U+00B1><U+00B2>",0,0,0," st annes edu00a0u00bdedu00b1u00b2edu00a0u00bdedu00b1u00b2edu00a0u00bdedu00b1u00b2edu00a0u00bdedu00b1u00b2edu00a0u00bdedu00b1u00b2edu00a0u00bdedu00b1u00b2edu00a0u00bdedu00b1u00b2edu00a0u00bdedu00b1u00b2edu00a0u00bdedu00b1u00b2edu00a0u00bdedu00b1u00b2edu00a0u00bdedu00b1u00b2","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"2482","@santanderukhelp thank you",FALSE,0,"santanderukhelp","2015-01-28 15:47:42",FALSE,560464006713204736,560464240763744256,962692878,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SamPolak",0,FALSE,FALSE,NA,NA,"@santanderukhelp thank you",1,0,0," thank you","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"2483","@santanderukhelp what are the call charges?",FALSE,0,"santanderukhelp","2015-01-28 15:42:48",FALSE,560462895952429056,560463005759336448,962692878,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SamPolak",0,FALSE,FALSE,NA,NA,"@santanderukhelp what are the call charges?",0,0,0," what are the call charges","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","9.47547003995745","0.108836578774127","negative"
"2484","@santanderukhelp my pin is locked and I don't know why. I need to use it urgently as well. Help, please",FALSE,0,"santanderukhelp","2015-01-28 15:37:41",FALSE,560460599843622912,560461720368713728,962692878,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SamPolak",0,FALSE,FALSE,NA,NA,"@santanderukhelp my pin is locked and I don't know why. I need to use it urgently as well. Help, please",1,0,0," my pin is locked and i dont know why i need to use it urgently as well help please","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","33.4217525744328","17.1191924966825","1.95229725823281","neutral"
"2485","@santanderukhelp I have already spent several hours of my time on the phone trying to sort this out over the last month with no luck.",FALSE,0,"santanderukhelp","2015-01-28 15:36:10",FALSE,560460599843622912,560461338309566464,962692878,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Harriet_Price",0,FALSE,FALSE,NA,NA,"@santanderukhelp I have already spent several hours of my time on the phone trying to sort this out over the last month with no luck.",1,0,0," i have already spent several hours of my time on the phone trying to sort this out over the last month with no luck","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","17.8123396772424","0.531961000724885","negative"
"2486","@santanderukhelp consequently halting the approval of our account. 4+ weeks to open an account is unacceptable and a waste of my time. 2/2",FALSE,0,"santanderukhelp","2015-01-28 15:22:56",FALSE,560452132265263104,560458007457587200,962692878,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Harriet_Price",0,FALSE,FALSE,NA,NA,"@santanderukhelp consequently halting the approval of our account. 4+ weeks to open an account is unacceptable and a waste of my time. 2/2",-1,0,0," consequently halting the approval of our account 4 weeks to open an account is unacceptable and a waste of my time 22","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","16.5333679773693","26.1492093145274","0.632270283147112","negative"
"2487","@santanderukhelp I have had my ID faxed across by my local branch twice in 3 weeks and both times it has not been received....1/2",FALSE,0,"santanderukhelp","2015-01-28 15:21:23",FALSE,560452132265263104,560457618503004160,962692878,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Harriet_Price",0,FALSE,FALSE,NA,NA,"@santanderukhelp I have had my ID faxed across by my local branch twice in 3 weeks and both times it has not been received....1/2",0,0,0," i have had my id faxed across by my local branch twice in 3 weeks and both times it has not been received12","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"2488","@santanderukhelp                                    Thank you. Just to be clear it was the Stoke Newington High St. London N16 branch",FALSE,0,"santanderukhelp","2015-01-28 15:21:05",FALSE,560456471176310784,560457542342823936,962692878,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HarrietVane50",0,FALSE,FALSE,NA,NA,"@santanderukhelp                                    Thank you. Just to be clear it was the Stoke Newington High St. London N16 branch",2,1,0,"                                    thank you just to be clear it was the stoke newington high st london n16 branch","7.34083555412328","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","anger","25.670707456461","0.445453222112551","57.6282899800754","positive"
"2489","@santanderukhelp @HarrietVane50       There's not much you can do other than make some of the front line staff aware about courtesy.",FALSE,0,"santanderukhelp","2015-01-28 15:10:16",FALSE,560436371345907712,560454822085005312,962692878,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HarrietVane50",0,FALSE,FALSE,NA,NA,"@santanderukhelp @HarrietVane50       There's not much you can do other than make some of the front line staff aware about courtesy.",0,0,0,"        theres not much you can do other than make some of the front line staff aware about courtesy","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"2490","@santanderukhelp My names actually Liam, and you know what, dont worry about it #embarrassing",FALSE,0,"santanderukhelp","2015-01-28 14:56:18",FALSE,560449626101514240,560451307157614592,962692878,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LiamPiper1",0,FALSE,FALSE,NA,NA,"@santanderukhelp My names actually Liam, and you know what, dont worry about it #embarrassing",-2,0,1," my names actually liam and you know what dont worry about it embarrassing","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","9.47547003995745","18.5054868578024","0.512035706640291","negative"
