"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","text.1","score","very.pos","very.neg","text.2","anger","disgust","fear","joy","sadness","surprise","emotion","pos","neg","pos_neg","polarity"
"1814","@ScotiabankHelps Good morning! Is there any way to make an appointment with an advisor without going or calling the branch? Thanks.",FALSE,0,"ScotiabankHelps","2015-01-28 16:25:10",FALSE,NA,560473670062071808,284029219,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aperez2242",0,FALSE,FALSE,NA,NA,"@ScotiabankHelps Good morning! Is there any way to make an appointment with an advisor without going or calling the branch? Thanks.",1,0,0," good morning is there any way to make an appointment with an advisor without going or calling the branch thanks","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","8.78232285939751","9.47547003995745","0.926848253686942","negative"
"1815","@parussheopuri @ScotiabankHelps Please refer to our press release for more information on the rates http://t.co/O917wJ7bW6",FALSE,0,"parussheopuri","2015-01-28 15:36:40",FALSE,560220251628265472,560461464662966272,23049577,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ScotiabankNews",0,FALSE,FALSE,NA,NA,"@parussheopuri @ScotiabankHelps Please refer to our press release for more information on the rates http://t.co/O917wJ7bW6",0,0,0,"  please refer to our press release for more information on the rates ","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","17.2265151579293","0.445453222112551","38.6718836070664","positive"
"1816","@ScotiabankHelps what information do I need to transfer from an American account to my scotiabank account?",FALSE,0,"ScotiabankHelps","2015-01-28 14:15:38",FALSE,NA,560441072825167872,284029219,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","spencergrover",0,FALSE,FALSE,NA,NA,"@ScotiabankHelps what information do I need to transfer from an American account to my scotiabank account?",0,0,0," what information do i need to transfer from an american account to my scotiabank account","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","17.1191924966825","0.0602410272345239","negative"
"1817","@ScotiabankHelps is there a way to see my routing number/transit etc that would be on a check? I dont have any checks right now",FALSE,0,"ScotiabankHelps","2015-01-28 13:26:00",FALSE,NA,560428581873287168,284029219,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","LynchReborn",0,FALSE,FALSE,NA,NA,"@ScotiabankHelps is there a way to see my routing number/transit etc that would be on a check? I dont have any checks right now",1,0,0," is there a way to see my routing numbertransit etc that would be on a check i dont have any checks right now","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","8.78232285939751","9.47547003995745","0.926848253686942","negative"
"1818","@ScotiabankHelps I'm getting ""Access Denied"" as I try to log in on my #Scotiabank online banking. Can you help? http://t.co/BMAWKuztzI",FALSE,0,"ScotiabankHelps","2015-01-28 07:59:03",FALSE,NA,560346302752358400,284029219,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","h5tm",0,FALSE,FALSE,NA,NA,"@ScotiabankHelps I'm getting ""Access Denied"" as I try to log in on my #Scotiabank online banking. Can you help? http://t.co/BMAWKuztzI",-1,0,0," im getting access denied as i try to log in on my scotiabank online banking can you help ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","24.2844130953411","8.78232285939751","2.76514693027433","positive"
"1819","@ScotiabankHelps $300 has been removed from my account without my consent or permission and I want it back.  NOW!",FALSE,0,"ScotiabankHelps","2015-01-28 06:39:13",FALSE,NA,560326211076096000,284029219,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Andrew8468",0,FALSE,FALSE,NA,NA,"@ScotiabankHelps $300 has been removed from my account without my consent or permission and I want it back.  NOW!",0,0,0," 300 has been removed from my account without my consent or permission and i want it back  now","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","25.670707456461","8.78232285939751","2.92299746518566","positive"
"1820","@ScotiabankHelps the issue is i can't see a figure. 0.2%; 1%; etc.",FALSE,0,"ScotiabankHelps","2015-01-28 01:48:00",FALSE,560249618437799936,560252922089725952,284029219,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TOpubo",0,FALSE,FALSE,NA,NA,"@ScotiabankHelps the issue is i can't see a figure. 0.2%; 1%; etc.",-1,0,0," the issue is i cant see a figure 02 1 etc","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","8.78232285939751","0.117426534862834","negative"
"1821","@ScotiabankHelps could i know more about your US$ savings facilities?",FALSE,0,"ScotiabankHelps","2015-01-28 01:06:10",FALSE,NA,560242397112963072,284029219,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TOpubo",0,FALSE,FALSE,NA,NA,"@ScotiabankHelps could i know more about your US$ savings facilities?",1,0,0," could i know more about your us savings facilities","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"1822","@ScotiabankHelps Is there an age minimum for acquiring a Visa Debit Card for use with my account for online purchases?",FALSE,0,"ScotiabankHelps","2015-01-28 00:54:52",FALSE,NA,560239550757212160,284029219,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kxylan",0,FALSE,FALSE,NA,NA,"@ScotiabankHelps Is there an age minimum for acquiring a Visa Debit Card for use with my account for online purchases?",0,0,0," is there an age minimum for acquiring a visa debit card for use with my account for online purchases","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","8.78232285939751","0.117426534862834","negative"
"1823","@ScotiabankHelps Not sure how to dm",FALSE,0,"ScotiabankHelps","2015-01-28 00:08:29",FALSE,560227275220975616,560227878840049664,284029219,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","knokno28",0,FALSE,FALSE,NA,NA,"@ScotiabankHelps Not sure how to dm",0,0,0," not sure how to dm","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","0.445453222112551","21.2715265477714","positive"
