"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","text.1","score","very.pos","very.neg","text.2","anger","disgust","fear","joy","sadness","surprise","emotion","pos","neg","pos_neg","polarity"
"2774","@AskSynchrony why will you not allow mint to get my info for my old navy &amp; Walmart CC? #imgonnamovemy$=6k",FALSE,0,"AskSynchrony","2015-01-28 07:34:42",FALSE,NA,560340174492553216,2695519759,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","msjac41",0,FALSE,FALSE,NA,NA,"@AskSynchrony why will you not allow mint to get my info for my old navy &amp; Walmart CC? #imgonnamovemy$=6k",0,0,0," why will you not allow mint to get my info for my old navy amp walmart cc imgonnamovemy6k","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","7.34083555412327","sadness","24.9775602759011","9.47547003995745","2.63602334982563","positive"
"2775","@AskSynchrony are you working to allow access to @mint?  Would use credit more if it would sync with @mint!",FALSE,0,"AskSynchrony","2015-01-28 04:34:11",FALSE,NA,560294745940197376,2695519759,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ElhrickCerdan",0,FALSE,FALSE,NA,NA,"@AskSynchrony are you working to allow access to @mint?  Would use credit more if it would sync with @mint!",0,0,0," are you working to allow access to   would use credit more if it would sync with ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","16.5333679773693","0.445453222112551","37.1158342933523","positive"
"2776","Hey @AskSynchrony…can ya'll actually be synchronous and start working with @mint/@mintbills? Because ya'll messin' up my budget plans. kthx",FALSE,0,NA,"2015-01-28 02:36:09",FALSE,NA,560265042109956096,NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","livahco",0,FALSE,FALSE,NA,NA,"Hey @AskSynchrony…can ya'll actually be synchronous and start working with @mint/@mintbills? Because ya'll messin' up my budget plans. kthx",0,0,0,"hey …can yall actually be synchronous and start working with  because yall messin up my budget plans kthx","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"2777","@AskSynchrony Makes @GOBankingRates 10 Best #CheckingAccounts of 2015 List! http://t.co/Lb2VYPj1uE http://t.co/dd4gYHnzNj",FALSE,0,"AskSynchrony","2015-01-26 23:30:46",FALSE,NA,559855998379524096,2695519759,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","GOBankingRates",0,FALSE,FALSE,NA,NA,"@AskSynchrony Makes @GOBankingRates 10 Best #CheckingAccounts of 2015 List! http://t.co/Lb2VYPj1uE http://t.co/dd4gYHnzNj",1,0,0," makes  10 best checkingaccounts of 2015 list  ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"2778","RT @AskSynchrony: Honored to be part of @GOBankingRates #BestBanks2015 10 Best Savings Accounts of 2015 http://t.co/YWQeXEliQT http://t.co/…",FALSE,0,NA,"2015-01-26 21:51:39",FALSE,NA,559831056639987712,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Go_Casey",2,TRUE,FALSE,NA,NA,"RT @AskSynchrony: Honored to be part of @GOBankingRates #BestBanks2015 10 Best Savings Accounts of 2015 http://t.co/YWQeXEliQT http://t.co/…",3,1,0," honored to be part of  bestbanks2015 10 best savings accounts of 2015  …","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"2779","@AskSynchrony - blocking @mint because you're scared of competition only hurts your customers. Learn to take care of us or we'll leave.",FALSE,0,"AskSynchrony","2015-01-26 10:06:41",FALSE,NA,559653643285037056,2695519759,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","osterhouzen",0,FALSE,FALSE,NA,NA,"@AskSynchrony - blocking @mint because you're scared of competition only hurts your customers. Learn to take care of us or we'll leave.",-1,0,0,"  blocking  because youre scared of competition only hurts your customers learn to take care of us or well leave","1.46871776464786","3.09234031207392","7.34083555412328","7.34083555412328","1.7277074477352","2.78695866252273","fear","16.5333679773693","9.47547003995745","1.74485992859976","neutral"
"2780","@AskSynchrony: Totally sucks that you won't let my wife and I add her Sam's Club card to our @mint account so we can track all our cards.",FALSE,0,"AskSynchrony","2015-01-26 00:10:09",FALSE,NA,559503522308567040,2695519759,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mecooley85",0,FALSE,FALSE,NA,NA,"@AskSynchrony: Totally sucks that you won't let my wife and I add her Sam's Club card to our @mint account so we can track all our cards.",-1,0,0," totally sucks that you wont let my wife and i add her sams club card to our  account so we can track all our cards","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","8.78232285939751","0.117426534862834","negative"
"2781",".@AskSynchrony stop harassing me with 8 am phone calls every morning. your company is so corrupt it is ridiculous",FALSE,0,NA,"2015-01-25 20:42:05",FALSE,NA,559451159124250624,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CASHWALDORF",0,FALSE,FALSE,NA,NA,".@AskSynchrony stop harassing me with 8 am phone calls every morning. your company is so corrupt it is ridiculous",-2,0,1," stop harassing me with 8 am phone calls every morning your company is so corrupt it is ridiculous","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","18.5054868578024","0.0557282145209216","negative"
"2782","@tottentopeka @AskSynchrony  no matterwhat departmentyou call you get transferred. And i still haven't received a call to help my problem",FALSE,0,"tottentopeka","2015-01-24 22:22:44",FALSE,559113706005880832,559114104087265280,20690819,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","stangXaXrang",0,FALSE,FALSE,NA,NA,"@tottentopeka @AskSynchrony  no matterwhat departmentyou call you get transferred. And i still haven't received a call to help my problem",-1,0,0,"   no matterwhat departmentyou call you get transferred and i still havent received a call to help my problem","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","7.34083555412327","sadness","8.78232285939751","26.8423564950873","0.327181514819865","negative"
"2783","@AskSynchrony worst customer service I've ever dealt with. Can't believe they would treat someone who pays them money monthly like they do",FALSE,0,"AskSynchrony","2015-01-23 03:00:10",FALSE,NA,558459146904031232,2695519759,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","stangXaXrang",0,FALSE,FALSE,NA,NA,"@AskSynchrony worst customer service I've ever dealt with. Can't believe they would treat someone who pays them money monthly like they do",0,0,0," worst customer service ive ever dealt with cant believe they would treat someone who pays them money monthly like they do","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","25.670707456461","9.47547003995745","2.70917509613869","positive"
"2784","@AskSynchrony i have been on hold for 18.5 minutes",FALSE,0,"AskSynchrony","2015-01-21 23:38:59",FALSE,552231415853875200,558046127116017664,2695519759,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","franndroid",0,FALSE,FALSE,NA,NA,"@AskSynchrony i have been on hold for 18.5 minutes",0,0,0," i have been on hold for 185 minutes","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"2785","@AskSynchrony Why can't you pre-qualify for a PayPal Extras Mastercard? As a ""Smart Connect"" customer, I have to *cancel* my account first?!",FALSE,0,"AskSynchrony","2015-01-21 22:12:10",FALSE,NA,558024278302392320,2695519759,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","prairienyx",0,FALSE,FALSE,NA,NA,"@AskSynchrony Why can't you pre-qualify for a PayPal Extras Mastercard? As a ""Smart Connect"" customer, I have to *cancel* my account first?!",1,0,0," why cant you prequalify for a paypal extras mastercard as a smart connect customer i have to cancel my account first","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","8.78232285939751","1.07892526745566","neutral"
"2786","@GoGECapital @AskSynchrony Allow mint access to aggregate credit card data. We consumers have the right to use our own transaction data!!!",FALSE,0,"GoGECapital","2015-01-21 06:38:29",FALSE,NA,557789311727595520,2693754679,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nidhi_hiten",0,FALSE,FALSE,NA,NA,"@GoGECapital @AskSynchrony Allow mint access to aggregate credit card data. We consumers have the right to use our own transaction data!!!",1,0,0,"  allow mint access to aggregate credit card data we consumers have the right to use our own transaction data","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","24.2844130953411","0.445453222112551","54.5161913526473","positive"
