"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","text.1","score","very.pos","very.neg","text.2","anger","disgust","fear","joy","sadness","surprise","emotion","pos","neg","pos_neg","polarity"
"354","I am looking for a No Fee HSA account! Any takers?

@WellsFargo @BofA_Help @Chase @RegionsNews @USAA_help @askBBT",FALSE,0,NA,"2015-01-27 20:56:59",FALSE,NA,560179684588003328,NA,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","AlexWorkman",0,FALSE,FALSE,NA,NA,"I am looking for a No Fee HSA account! Any takers?

@WellsFargo @BofA_Help @Chase @RegionsNews @USAA_help @askBBT",0,0,0,"i am looking for a no fee hsa account any takers

     ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","8.78232285939751","0.117426534862834","negative"
"2340","RT @vbierschwale: @USAA_help sure will - have already contacted ceo with no luck - samples of my work can be found here http://t.co/alPBHJw…",FALSE,0,NA,"2015-01-28 17:22:07",FALSE,NA,560487999612665856,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MDI_LLC",1,TRUE,FALSE,NA,NA,"RT @vbierschwale: @USAA_help sure will - have already contacted ceo with no luck - samples of my work can be found here http://t.co/alPBHJw…",2,1,0," sure will  have already contacted ceo with no luck  samples of my work can be found here …","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","34.8080469355527","0.445453222112551","78.1407456667984","positive"
"2341","@USAA_help sure will - have already contacted ceo with no luck - samples of my work can be found here http://t.co/alPBHJw0LQ",FALSE,0,"USAA_help","2015-01-28 17:13:58",FALSE,560484231223463936,560485949663375360,16274102,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vbierschwale",1,FALSE,FALSE,NA,NA,"@USAA_help sure will - have already contacted ceo with no luck - samples of my work can be found here http://t.co/alPBHJw0LQ",2,1,0," sure will  have already contacted ceo with no luck  samples of my work can be found here ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","34.8080469355527","0.445453222112551","78.1407456667984","positive"
"2342","@USAA_help I tried to follow the link you provided but none of the categories fit my situation.",FALSE,0,"USAA_help","2015-01-28 17:13:45",FALSE,560484953029640192,560485895607177216,16274102,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FGall03",0,FALSE,FALSE,NA,NA,"@USAA_help I tried to follow the link you provided but none of the categories fit my situation.",0,0,0," i tried to follow the link you provided but none of the categories fit my situation","7.34083555412328","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","anger","9.47547003995745","8.78232285939751","1.07892526745566","neutral"
"2343","@USAA_help I am being blocked from using the USAA GUI site because I filed for bankruptcy in 2011 which came on the advice of USAA reps.",FALSE,0,"USAA_help","2015-01-28 17:04:58",FALSE,560482339915333632,560483686286893056,16274102,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FGall03",0,FALSE,FALSE,NA,NA,"@USAA_help I am being blocked from using the USAA GUI site because I filed for bankruptcy in 2011 which came on the advice of USAA reps.",0,0,0," i am being blocked from using the usaa gui site because i filed for bankruptcy in 2011 which came on the advice of usaa reps","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","8.78232285939751","0.445453222112551","19.7154772340574","positive"
"2344","@USAA_help I don't want to call. I want you to fix it. Ticket was opened a month ago.",FALSE,0,"USAA_help","2015-01-28 16:58:55",FALSE,560477866434248704,560482162030682112,16274102,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JenOsbon",0,FALSE,FALSE,-84.46085124,33.89741665,"@USAA_help I don't want to call. I want you to fix it. Ticket was opened a month ago.",0,0,0," i dont want to call i want you to fix it ticket was opened a month ago","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","9.47547003995745","1","neutral"
"2345","@USAA @USAA_help  @USAA DO U PLAN ON TALKING WITH ME ABOUT $585 BEING LOOTED FROM MY CHECKING ACCT??????????",FALSE,0,"MicRLane","2015-01-28 15:36:57",FALSE,560461356433166336,560461534913388544,575149470,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MicRLane",0,FALSE,FALSE,NA,NA,"@USAA @USAA_help  @USAA DO U PLAN ON TALKING WITH ME ABOUT $585 BEING LOOTED FROM MY CHECKING ACCT??????????",0,0,0,"    do u plan on talking with me about 585 being looted from my checking acct","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"2346","@USAA @USAA_help #USAA REPS DO NOT CARE EITHER - BEEN ON HOLD FOR 105 MINUTES NOW - WILL THEY EVER GET BACK ON CALL????????",FALSE,0,"MicRLane","2015-01-28 15:36:14",FALSE,560461134495768576,560461356433166336,575149470,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MicRLane",0,FALSE,FALSE,NA,NA,"@USAA @USAA_help #USAA REPS DO NOT CARE EITHER - BEEN ON HOLD FOR 105 MINUTES NOW - WILL THEY EVER GET BACK ON CALL????????",0,0,0,"  usaa reps do not care either  been on hold for 105 minutes now  will they ever get back on call","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","7.34083555412328","7.34083555412327","joy","33.4217525744328","18.5054868578024","1.80604557076764","neutral"
"2348","@USAA want our $$ but when looted from our accts they too busy 2 make right @USAA_help SOME HELP - OPPOSITE!!!!",FALSE,0,"USAA","2015-01-28 15:28:46",FALSE,NA,560459477057826816,16584443,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MicRLane",0,FALSE,FALSE,NA,NA,"@USAA want our $$ but when looted from our accts they too busy 2 make right @USAA_help SOME HELP - OPPOSITE!!!!",1,0,0," want our  but when looted from our accts they too busy 2 make right  some help  opposite","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","24.9775602759011","8.78232285939751","2.84407219773","positive"
"2349","@USAA very lame - Cannot protect my checking acct from #identitytheft from India &amp; China @USAA_help Need 2 close #USAA accts obviously!!",FALSE,0,"USAA","2015-01-28 15:26:58",FALSE,NA,560459024710529024,16584443,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MicRLane",0,FALSE,FALSE,NA,NA,"@USAA very lame - Cannot protect my checking acct from #identitytheft from India &amp; China @USAA_help Need 2 close #USAA accts obviously!!",0,0,0," very lame  cannot protect my checking acct from identitytheft from india amp china  need 2 close usaa accts obviously","1.46871776464786","3.09234031207392","2.06783599555953","13.6561935556456","1.7277074477352","2.78695866252273","joy","8.78232285939751","34.4860789518123","0.25466284153873","negative"
