"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","text.1","score","very.pos","very.neg","text.2","anger","disgust","fear","joy","sadness","surprise","emotion","pos","neg","pos_neg","polarity"
"162","Just paid off my @ChaseSupport amazon card &amp; closed it, nite nite 22% rate #evenakidknowsbetter #usury #badbusiness @Ask_WellsFargo is next",FALSE,1,NA,"2015-01-27 14:19:47",FALSE,NA,560079727822516224,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","clipperslive1",0,FALSE,FALSE,NA,NA,"Just paid off my @ChaseSupport amazon card &amp; closed it, nite nite 22% rate #evenakidknowsbetter #usury #badbusiness @Ask_WellsFargo is next",0,0,0,"just paid off my  amazon card amp closed it nite nite 22 rate evenakidknowsbetter usury badbusiness  is next","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"400","@Ask_WellsFargo ok about to now .",FALSE,0,"Ask_WellsFargo","2015-01-28 17:28:40",FALSE,560489477282725888,560489648670392320,23002858,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KansasPrince",0,FALSE,FALSE,NA,NA,"@Ask_WellsFargo ok about to now .",0,0,0," ok about to now ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"401","@Ask_WellsFargo could i dm you guys ?",FALSE,0,"Ask_WellsFargo","2015-01-28 17:25:52",FALSE,560488732630204416,560488944060870656,23002858,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KansasPrince",0,FALSE,FALSE,NA,NA,"@Ask_WellsFargo could i dm you guys ?",0,0,0," could i dm you guys ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"402","@Ask_WellsFargo got a important question to ask ?",FALSE,0,"Ask_WellsFargo","2015-01-28 17:17:09",FALSE,NA,560486751316508672,23002858,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KansasPrince",0,FALSE,FALSE,NA,NA,"@Ask_WellsFargo got a important question to ask ?",1,0,0," got a important question to ask ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","8.78232285939751","18.5054868578024","0.474579400524914","negative"
"403","@Ask_WellsFargo you guys never have my money in my account the days i get paid!",FALSE,0,"Ask_WellsFargo","2015-01-28 17:15:43",FALSE,560486090566811648,560486391080296448,23002858,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ittsandbittsxo",0,FALSE,FALSE,NA,NA,"@Ask_WellsFargo you guys never have my money in my account the days i get paid!",0,0,0," you guys never have my money in my account the days i get paid","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","7.34083555412327","sadness","1.03127774142571","17.8123396772424","0.0578968153601572","negative"
"404","@Ask_WellsFargo I tried to pay with my card and it got declined",FALSE,0,"Ask_WellsFargo","2015-01-28 17:14:20",FALSE,NA,560486043955519488,23002858,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yasseralharthi4",0,FALSE,FALSE,NA,NA,"@Ask_WellsFargo I tried to pay with my card and it got declined",0,0,0," i tried to pay with my card and it got declined","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","9.47547003995745","0.108836578774127","negative"
"405","RT @Ask_WellsFargo: @BossyNdPetiteXx Saw your tweet. Is there something we can try to help with? Tell us what's going on and we'll do our b…",FALSE,0,NA,"2015-01-28 16:57:38",FALSE,NA,560481838784069632,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BossyNdPetiteXx",1,TRUE,FALSE,NA,NA,"RT @Ask_WellsFargo: @BossyNdPetiteXx Saw your tweet. Is there something we can try to help with? Tell us what's going on and we'll do our b…",1,0,0," saw your tweet is there something we can try to help with tell us whats going on and well do our b…","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","16.5333679773693","8.78232285939751","1.88257346513717","neutral"
"406","RT @Ask_WellsFargo: @OriginalColTim Thanks for stopping by the store. We hope you had a pleasant visit and that you enjoy the rest of your …",FALSE,0,NA,"2015-01-28 16:56:36",FALSE,NA,560481579571900416,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OriginalColTim",1,TRUE,FALSE,NA,NA,"RT @Ask_WellsFargo: @OriginalColTim Thanks for stopping by the store. We hope you had a pleasant visit and that you enjoy the rest of your …",2,1,0," thanks for stopping by the store we hope you had a pleasant visit and that you enjoy the rest of your …","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","24.9775602759011","0.445453222112551","56.0722406663613","positive"
"407","@Ask_WellsFargo interesting ... Okay.",FALSE,0,"Ask_WellsFargo","2015-01-28 16:34:20",FALSE,560475779147255808,560475974853480448,23002858,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JJR11",0,FALSE,FALSE,NA,NA,"@Ask_WellsFargo interesting ... Okay.",1,0,0," interesting  okay","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","17.2265151579293","0.445453222112551","38.6718836070664","positive"
"408","@Ask_WellsFargo it's been three months and he still hasn't received a debit card. You blame it on the post office but we get all other mail?",FALSE,0,"Ask_WellsFargo","2015-01-28 16:34:08",FALSE,560474637881315328,560475925645492224,23002858,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RaeDonovan_",0,FALSE,FALSE,NA,NA,"@Ask_WellsFargo it's been three months and he still hasn't received a debit card. You blame it on the post office but we get all other mail?",-1,0,0," its been three months and he still hasnt received a debit card you blame it on the post office but we get all other mail","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","7.34083555412327","sadness","1.03127774142571","18.5054868578024","0.0557282145209216","negative"
"409","@Ask_WellsFargo @WellsFargo what ""stores"" ?",FALSE,0,"Ask_WellsFargo","2015-01-28 16:26:02",FALSE,560458527857467392,560473886547279872,23002858,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JJR11",0,FALSE,FALSE,NA,NA,"@Ask_WellsFargo @WellsFargo what ""stores"" ?",0,0,0,"  what stores ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"410","RT @Ask_WellsFargo: Our stores affected by Juno are open today during regular business hours. For WF store and ATM locations: http://t.co/U…",FALSE,0,NA,"2015-01-28 16:25:56",FALSE,NA,560473860416339968,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AbeVanVarenberg",2,TRUE,FALSE,NA,NA,"RT @Ask_WellsFargo: Our stores affected by Juno are open today during regular business hours. For WF store and ATM locations: http://t.co/U…",0,0,0," our stores affected by juno are open today during regular business hours for wf store and atm locations …","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","8.78232285939751","0.445453222112551","19.7154772340574","positive"
"411","@Ask_WellsFargo this is just a link to another link that doesn’t answer the question Thanks for blowing me off. #notfeelinglikeavaluedguest",FALSE,0,"Ask_WellsFargo","2015-01-28 16:13:18",FALSE,560455694206656512,560470680857096192,23002858,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","NateDelahay",0,FALSE,FALSE,NA,NA,"@Ask_WellsFargo this is just a link to another link that doesn’t answer the question Thanks for blowing me off. #notfeelinglikeavaluedguest",0,0,0," this is just a link to another link that doesn’t answer the question thanks for blowing me off notfeelinglikeavaluedguest","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","9.47547003995745","1","neutral"
"412","@Ask_WellsFargo tried that, different computers, browsers and networks. I need to reset the password for my retirement account. won't do it.",FALSE,0,"Ask_WellsFargo","2015-01-28 16:05:36",FALSE,560240598821904384,560468743206100992,23002858,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","doubleffthis",0,FALSE,FALSE,NA,NA,"@Ask_WellsFargo tried that, different computers, browsers and networks. I need to reset the password for my retirement account. won't do it.",0,0,0," tried that different computers browsers and networks i need to reset the password for my retirement account wont do it","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","17.1191924966825","0.0602410272345239","negative"
"413","@Ask_WellsFargo hi, did you find something in my case?",FALSE,0,"Ask_WellsFargo","2015-01-28 15:50:23",FALSE,NA,560464915149099008,23002858,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alina_307",0,FALSE,FALSE,NA,NA,"@Ask_WellsFargo hi, did you find something in my case?",0,0,0," hi did you find something in my case","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"414","@Ask_WellsFargo nope yall WACK as shit! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,"Ask_WellsFargo","2015-01-28 15:45:22",FALSE,560463563270402048,560463651413692416,23002858,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","beautifulll_K",0,FALSE,FALSE,NA,NA,"@Ask_WellsFargo nope yall WACK as shit! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",-2,0,1," nope yall wack as shit edu00a0u00bdedu00b8u0082","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"415","@Ask_WellsFargo still no answer 6 tweets 15 posts on various social media, 24 phone calls, 3 letters.......still waiting for an answer?",FALSE,0,"Ask_WellsFargo","2015-01-28 15:42:30",FALSE,NA,560462933575348224,23002858,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jayobrien",0,FALSE,FALSE,NA,NA,"@Ask_WellsFargo still no answer 6 tweets 15 posts on various social media, 24 phone calls, 3 letters.......still waiting for an answer?",0,0,0," still no answer 6 tweets 15 posts on various social media 24 phone calls 3 lettersstill waiting for an answer","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"416","@Ask_WellsFargo nope, no concern! Grateful, is all!",FALSE,0,"Ask_WellsFargo","2015-01-28 15:39:33",FALSE,560461049686941696,560462188448468992,23002858,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","feministkillj0y",0,FALSE,FALSE,NA,NA,"@Ask_WellsFargo nope, no concern! Grateful, is all!",0,0,0," nope no concern grateful is all","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","9.47547003995745","9.47547003995745","1","neutral"
"417","@Ask_WellsFargo will b off 3 months/knee replacement asked 4 3 month deferment on mortgage, u said no, that we have to b behind in payments",FALSE,0,"Ask_WellsFargo","2015-01-28 15:35:22",FALSE,NA,560461138358333440,23002858,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Chepa52",0,FALSE,FALSE,NA,NA,"@Ask_WellsFargo will b off 3 months/knee replacement asked 4 3 month deferment on mortgage, u said no, that we have to b behind in payments",0,0,0," will b off 3 monthsknee replacement asked 4 3 month deferment on mortgage u said no that we have to b behind in payments","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"418","RT @Ask_WellsFargo: Our stores affected by Juno are open today during regular business hours. For WF store and ATM locations: http://t.co/U…",FALSE,0,NA,"2015-01-28 15:27:01",FALSE,NA,560459034181246976,NA,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","WellsFargo",2,TRUE,FALSE,NA,NA,"RT @Ask_WellsFargo: Our stores affected by Juno are open today during regular business hours. For WF store and ATM locations: http://t.co/U…",0,0,0," our stores affected by juno are open today during regular business hours for wf store and atm locations …","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","8.78232285939751","0.445453222112551","19.7154772340574","positive"
"419","@Ask_WellsFargo it takes forever for the money to come out my acct after I make a transaction",FALSE,1,"Ask_WellsFargo","2015-01-28 14:55:24",FALSE,560450738825228288,560451077217480704,23002858,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kearse_",0,FALSE,FALSE,NA,NA,"@Ask_WellsFargo it takes forever for the money to come out my acct after I make a transaction",0,0,0," it takes forever for the money to come out my acct after i make a transaction","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"420","@Ask_WellsFargo (cont.) considering I'm an east side customer, a lot of confusion could have been avoided.",FALSE,0,"Ask_WellsFargo","2015-01-28 14:39:10",FALSE,560444573445787648,560446993823461376,23002858,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YouLoveBlee",0,FALSE,FALSE,NA,NA,"@Ask_WellsFargo (cont.) considering I'm an east side customer, a lot of confusion could have been avoided.",-1,0,0," cont considering im an east side customer a lot of confusion could have been avoided","7.34083555412328","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","anger","1.03127774142571","9.47547003995745","0.108836578774127","negative"
"421","@Ask_WellsFargo it was only last night that I found out that Wells Fargo is an west side bank, therefore you operate in PST. With this info,",FALSE,0,"Ask_WellsFargo","2015-01-28 14:37:27",FALSE,560444573445787648,560446560040128512,23002858,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YouLoveBlee",0,FALSE,FALSE,NA,NA,"@Ask_WellsFargo it was only last night that I found out that Wells Fargo is an west side bank, therefore you operate in PST. With this info,",0,0,0," it was only last night that i found out that wells fargo is an west side bank therefore you operate in pst with this info","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","8.78232285939751","17.8123396772424","0.493047124551418","negative"
"422","@Ask_WellsFargo (cont.) part, countless mistakes at that.",FALSE,0,"Ask_WellsFargo","2015-01-28 14:36:03",FALSE,560444573445787648,560446210675580928,23002858,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YouLoveBlee",0,FALSE,FALSE,NA,NA,"@Ask_WellsFargo (cont.) part, countless mistakes at that.",-1,0,0," cont part countless mistakes at that","7.34083555412328","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","anger","1.03127774142571","9.47547003995745","0.108836578774127","negative"
"423","@Ask_WellsFargo (cont.) but again, it's rather inconvenient to end up pay $120 (over a month total) in overdraft fees for a mistake on your",FALSE,0,"Ask_WellsFargo","2015-01-28 14:35:25",FALSE,560444573445787648,560446051472400384,23002858,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YouLoveBlee",0,FALSE,FALSE,NA,NA,"@Ask_WellsFargo (cont.) but again, it's rather inconvenient to end up pay $120 (over a month total) in overdraft fees for a mistake on your",-1,0,0," cont but again its rather inconvenient to end up pay 120 over a month total in overdraft fees for a mistake on your","7.34083555412328","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","anger","1.03127774142571","35.8723733129322","0.0287485227818457","negative"
